"intersection","n","methods"
"I1",14,"metagenomeSeq"
"I2",6,"SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I3",4,"SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I4",4,"SACAT structural absence | MaAsLin3 | ZINQ | LinDA"
"I5",3,"SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I6",3,"SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I7",3,"LinDA | corncob | metagenomeSeq"
"I8",3,"ZINQ | LinDA | corncob | metagenomeSeq"
"I9",2,"corncob | metagenomeSeq"
"I10",2,"SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | LinDA | metagenomeSeq"
"I11",2,"SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA"
"I12",2,"SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I13",2,"SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | metagenomeSeq"
"I14",2,"MaAsLin3 | ZINQ | LinDA | corncob | metagenomeSeq"
"I15",1,"corncob"
"I16",1,"corncob | edgeR | DESeq2 | metagenomeSeq"
"I17",1,"corncob | edgeR | metagenomeSeq"
"I18",1,"SACAT present-conditional abundance | corncob | edgeR | metagenomeSeq"
"I19",1,"SACAT present-conditional abundance | LinDA | corncob | DESeq2 | metagenomeSeq"
"I20",1,"SACAT present-conditional abundance | MaAsLin3 | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I21",1,"SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I22",1,"SACAT present-conditional abundance | MaAsLin3 | ZINQ | corncob | edgeR | DESeq2 | metagenomeSeq"
"I23",1,"SACAT present-conditional abundance | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I24",1,"SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2"
"I25",1,"SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I26",1,"SACAT structural absence | MaAsLin3 | ZINQ | edgeR | metagenomeSeq"
"I27",1,"SACAT structural absence | MaAsLin3 | ZINQ | LinDA | DESeq2 | metagenomeSeq"
"I28",1,"SACAT structural absence | MaAsLin3 | ZINQ | LinDA | metagenomeSeq"
"I29",1,"SACAT structural absence | ZINQ | ANCOM-BC2 | LinDA"
"I30",1,"LinDA"
"I31",1,"LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I32",1,"MaAsLin3"
"I33",1,"MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I34",1,"MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I35",1,"MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I36",1,"MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I37",1,"MaAsLin3 | ZINQ | corncob | DESeq2 | metagenomeSeq"
"I38",1,"MaAsLin3 | ZINQ | LinDA"
"I39",1,"MaAsLin3 | ZINQ | LinDA | DESeq2 | metagenomeSeq"
"I40",1,"MaAsLin3 | ZINQ | LinDA | metagenomeSeq"
"I41",1,"ZINQ | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I42",1,"ZINQ | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
