"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"crc_baxter","Acetanaerobacterium","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.143130495811989,0.143130495811989,0.143130495811989,0.693632402781177,0.693632402781177,FALSE,,1.46423227024022,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Acetitomaculum","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.0969130909227173,0.0969130909227173,0.0969130909227173,0.693632402781177,0.693632402781177,FALSE,,-1.6600067684041,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Acidaminococcus","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.733854489644533,0.733854489644533,0.733854489644533,0.973322796791696,0.973322796791696,FALSE,,-0.340002706617773,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Actinomyces","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.628355195836716,0.628355195836716,0.628355195836716,0.924129050107053,0.924129050107053,FALSE,,0.484043220800794,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Akkermansia","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.938567930252417,0.938567930252417,0.938567930252417,1,1,FALSE,,0.0770699098391555,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Alistipes","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.215729029618892,0.215729029618892,0.215729029618892,0.755051603666121,0.755051603666121,FALSE,,-1.23796502485802,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Allisonella","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.675772286834859,0.675772286834859,0.675772286834859,0.935057672382044,0.935057672382044,FALSE,,0.41823913294394,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Anaerococcus","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.862822697987018,0.862822697987018,0.862822697987018,1,1,FALSE,,0.172782112167689,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Anaerofilum","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.594799332373681,0.594799332373681,0.594799332373681,0.924129050107053,0.924129050107053,FALSE,,0.531894116581043,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Anaerofustis","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.821879864895023,0.821879864895023,0.821879864895023,1,1,FALSE,,0.225127786970083,"score z; positive values indicate greater structural absence in the comparison group",,
"crc_baxter","Anaerorhabdus","DASRA structural absence","DASRA","structural absence","H","CRC","age_z + sex + group",TRUE,"ok",0.916305701065275,0.916305701065275,0.916305701065275,1,1,FALSE,,-0.105088353029346,"score z; positive values indicate greater structural absence in the comparison group",,
