"intersection","taxon","methods"
"I1","Acetitomaculum","metagenomeSeq"
"I20","Anaerococcus","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I1","Anaerofustis","metagenomeSeq"
"I1","Anaerosporobacter","metagenomeSeq"
"I1","Anaerotruncus","metagenomeSeq"
"I1","Atopobium","metagenomeSeq"
"I17","Bilophila","edgeR | DESeq2 | metagenomeSeq"
"I2","Butyricimonas","corncob | metagenomeSeq"
"I2","Citrobacter","corncob | metagenomeSeq"
"I4","Clostridium_IV","edgeR"
"I1","Clostridium_XII","metagenomeSeq"
"I6","Clostridium_XlVb","LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I8","Clostridium_XVIII","corncob | DESeq2"
"I16","Collinsella","DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | edgeR | DESeq2"
"I1","Corynebacterium","metagenomeSeq"
"I3","Dialister","corncob"
"I1","Eggerthella","metagenomeSeq"
"I19","Eggerthia","MaAsLin3 combined | metagenomeSeq"
"I10","Enterobacter","corncob | edgeR | DESeq2 | metagenomeSeq"
"I1","Enterococcus","metagenomeSeq"
"I4","Eubacterium","edgeR"
"I7","Fusobacterium","ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I12","Gemella","DASRA present-conditional abundance | DASRA combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ abundance | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I2","Gemmiger","corncob | metagenomeSeq"
"I6","Haemophilus","LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I7","Lachnobacterium","ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I1","Lactobacillus","metagenomeSeq"
"I3","Megasphaera","corncob"
"I1","Methylobacterium","metagenomeSeq"
"I4","Odoribacter","edgeR"
"I9","Paraprevotella","corncob | edgeR"
"I21","Parvimonas","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I11","Peptoniphilus","DASRA present-conditional abundance | corncob | metagenomeSeq"
"I14","Peptostreptococcus","DASRA present-conditional abundance | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I13","Porphyromonas","DASRA present-conditional abundance | DASRA combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I1","Prevotella","metagenomeSeq"
"I5","Pseudomonas","DESeq2"
"I18","Ruminococcus2","LinDA | edgeR | metagenomeSeq"
"I15","Solobacterium","DASRA present-conditional abundance | DASRA combined | metagenomeSeq"
"I1","Staphylococcus","metagenomeSeq"
"I1","Streptophyta","metagenomeSeq"
"I1","Succiniclasticum","metagenomeSeq"
"I2","Sutterella","corncob | metagenomeSeq"
"I3","Turicibacter","corncob"
"I3","Unclassified_Acidaminococcaceae","corncob"
"I1","Unclassified_Actinomycetaceae","metagenomeSeq"
"I1","Unclassified_Bacteroidetes","metagenomeSeq"
"I1","Unclassified_Burkholderiales","metagenomeSeq"
"I2","Unclassified_Clostridiaceae_2","corncob | metagenomeSeq"
"I1","Unclassified_Enterobacteriaceae","metagenomeSeq"
"I22","Unclassified_Erysipelotrichaceae","MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | metagenomeSeq"
"I23","Unclassified_Lachnospiraceae","ZINQ abundance | ZINQ combined"
"I1","Unclassified_Rhodospirillaceae","metagenomeSeq"
"I5","Unclassified_Veillonellaceae","DESeq2"
"I1","Vampirovibrio","metagenomeSeq"
"I2","Weissella","corncob | metagenomeSeq"
