"intersection","n","methods"
"I1",21,"metagenomeSeq"
"I2",6,"corncob | metagenomeSeq"
"I3",4,"corncob"
"I4",3,"edgeR"
"I5",2,"DESeq2"
"I6",2,"LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I7",2,"ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I8",1,"corncob | DESeq2"
"I9",1,"corncob | edgeR"
"I10",1,"corncob | edgeR | DESeq2 | metagenomeSeq"
"I11",1,"SACAT present-conditional abundance | corncob | metagenomeSeq"
"I12",1,"SACAT present-conditional abundance | SACAT combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ abundance | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I13",1,"SACAT present-conditional abundance | SACAT combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I14",1,"SACAT present-conditional abundance | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I15",1,"SACAT present-conditional abundance | SACAT combined | metagenomeSeq"
"I16",1,"SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | edgeR | DESeq2"
"I17",1,"edgeR | DESeq2 | metagenomeSeq"
"I18",1,"LinDA | edgeR | metagenomeSeq"
"I19",1,"MaAsLin3 combined | metagenomeSeq"
"I20",1,"MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I21",1,"MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I22",1,"MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | metagenomeSeq"
"I23",1,"ZINQ abundance | ZINQ combined"
