"method","family","component","discoveries"
"DASRA structural absence","DASRA","structural absence",14
"DASRA present-conditional abundance","DASRA","present-conditional abundance",24
"DASRA combined","DASRA","combined",30
"MaAsLin3 prevalence","MaAsLin3","prevalence",45
"MaAsLin3 abundance","MaAsLin3","abundance",19
"MaAsLin3 combined","MaAsLin3","combined",48
"ZINQ prevalence","ZINQ","prevalence",45
"ZINQ abundance","ZINQ","abundance",27
"ZINQ combined","ZINQ","combined",52
"ANCOM-BC2","ANCOM-BC2","differential abundance",30
"LinDA","LinDA","differential abundance",51
"corncob","corncob","differential abundance",38
"edgeR","edgeR","differential abundance",33
"DESeq2","DESeq2","differential abundance",45
"metagenomeSeq","metagenomeSeq","differential abundance",67
