"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"korean_hypertension","Acidaminococcus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.76391570150703,0.76391570150703,0.76391570150703,0.959094613007167,0.959094613007167,FALSE,,0.300342784369575,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Akkermansia","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.108167584235177,0.108167584235177,0.108167584235177,0.717839422651631,0.717839422651631,FALSE,,1.60648410669436,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Alistipes","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.785846679606937,0.785846679606937,0.785846679606937,0.959094613007167,0.959094613007167,FALSE,,-0.271707830841104,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Alkaliphilus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.277529938151419,0.277529938151419,0.277529938151419,0.959094613007167,0.959094613007167,FALSE,,1.08588485511174,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Allisonella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.769606270875462,0.769606270875462,0.769606270875462,0.959094613007167,0.959094613007167,FALSE,,-0.292889950047792,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Alloprevotella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.625171122014694,0.625171122014694,0.625171122014694,0.959094613007167,0.959094613007167,FALSE,,-0.488534744215186,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Anaerostipes","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.759351507610421,0.759351507610421,0.759351507610421,0.959094613007167,0.959094613007167,FALSE,,-0.306332485315493,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Anaerovorax","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.101762049377372,0.101762049377372,0.101762049377372,0.717839422651631,0.717839422651631,FALSE,,1.63637059539482,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Bacteroides","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.386232960796764,0.386232960796764,0.386232960796764,0.959094613007167,0.959094613007167,FALSE,,0.866469106749523,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Barnesiella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.0625910033853024,0.0625910033853024,0.0625910033853024,0.717839422651631,0.717839422651631,FALSE,,1.86208575642658,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Bifidobacterium","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.500100143725398,0.500100143725398,0.500100143725398,0.959094613007167,0.959094613007167,FALSE,,0.674332189171745,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Bilophila","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.671384743353023,0.671384743353023,0.671384743353023,0.959094613007167,0.959094613007167,FALSE,,0.424248294451155,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Blautia","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"No zero counts were observed for this taxon",1,1,1,1,1,FALSE,,,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Butyricicoccus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.95517004756825,0.95517004756825,0.95517004756825,1,1,FALSE,,-0.0562156078375014,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Butyricimonas","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.070497052739184,0.070497052739184,0.070497052739184,0.717839422651631,0.717839422651631,FALSE,,-1.8087036686586,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Catenibacterium","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.947257744449196,0.947257744449196,0.947257744449196,1,1,FALSE,,0.0661508281194628,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Clostridium III","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.0959440653341641,0.0959440653341641,0.0959440653341641,0.717839422651631,0.717839422651631,FALSE,,1.66484308643211,"score z; positive values indicate greater structural absence in the comparison group",,
