"intersection","taxon","methods"
"I1","Acidaminococcus","metagenomeSeq"
"I1","Akkermansia","metagenomeSeq"
"I1","Allisonella","metagenomeSeq"
"I1","Bilophila","metagenomeSeq"
"I1","Butyricimonas","metagenomeSeq"
"I1","Catenibacterium","metagenomeSeq"
"I2","Erysipelotrichaceae incertae sedis","edgeR | metagenomeSeq"
"I2","Ethanoligenens","edgeR | metagenomeSeq"
"I1","Haemophilus","metagenomeSeq"
"I1","Senegalimassilia","metagenomeSeq"
"I2","Subdoligranulum","edgeR | metagenomeSeq"
"I3","Unclassified_Enterobacteriaceae","edgeR | DESeq2 | metagenomeSeq"
