"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"microbiomehd_zupancic_obesity","Alistipes","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.897920533439624,0.897920533439624,0.897920533439624,0.960213343975847,0.960213343975847,FALSE,,0.128288666976039,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Anaerostipes","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.417822466144567,0.417822466144567,0.417822466144567,0.928255511977809,0.928255511977809,FALSE,,-0.810204822730208,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Anaerotruncus","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.280146097719879,0.280146097719879,0.280146097719879,0.928255511977809,0.928255511977809,FALSE,,-1.07999120264502,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Bacteroides","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.502611674494972,0.502611674494972,0.502611674494972,0.928255511977809,0.928255511977809,FALSE,,0.670386129366979,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Blautia","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.645550708862088,0.645550708862088,0.645550708862088,0.928255511977809,0.928255511977809,FALSE,,-0.459951951917987,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Butyricicoccus","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.404402786048195,0.404402786048195,0.404402786048195,0.928255511977809,0.928255511977809,FALSE,,-0.833783870522698,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Catenibacterium","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.36510581755062,0.36510581755062,0.36510581755062,0.928255511977809,0.928255511977809,FALSE,,-0.905678930662461,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Clostridium_IV","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.590326324363273,0.590326324363273,0.590326324363273,0.928255511977809,0.928255511977809,FALSE,,0.538363204021704,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Clostridium_sensu_stricto","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.500044164564892,0.500044164564892,0.500044164564892,0.928255511977809,0.928255511977809,FALSE,,-0.674420261860953,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Clostridium_XI","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.701851728568587,0.701851728568587,0.701851728568587,0.928255511977809,0.928255511977809,FALSE,,0.382822026500794,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Clostridium_XlVa","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.804352886087819,0.804352886087819,0.804352886087819,0.948664968082082,0.948664968082082,FALSE,,0.247717635282771,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Collinsella","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.690795442171184,0.690795442171184,0.690795442171184,0.928255511977809,0.928255511977809,FALSE,,-0.397775820493186,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Coprococcus","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.583372063130543,0.583372063130543,0.583372063130543,0.928255511977809,0.928255511977809,FALSE,,-0.548465862710591,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Desulfovibrio","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.809835948362753,0.809835948362753,0.809835948362753,0.948664968082082,0.948664968082082,FALSE,,-0.240637674033743,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Dorea","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.58761444442068,0.58761444442068,0.58761444442068,0.928255511977809,0.928255511977809,FALSE,,-0.542296241465361,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Erysipelotrichaceae_incertae_sedis","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.631405056916994,0.631405056916994,0.631405056916994,0.928255511977809,0.928255511977809,FALSE,,0.479750158959714,"score z; positive values indicate greater structural absence in the comparison group",,
"microbiomehd_zupancic_obesity","Faecalibacterium","DASRA structural absence","DASRA","structural absence","H","OB","sex + group",TRUE,"Available",0.0427175583384306,0.0427175583384306,0.0427175583384306,0.928255511977809,0.928255511977809,FALSE,,-2.02646106889143,"score z; positive values indicate greater structural absence in the comparison group",,
