"method","family","component","discoveries"
"SACAT structural absence","SACAT","structural absence",26
"SACAT present-conditional abundance","SACAT","present-conditional abundance",32
"SACAT combined","SACAT","combined",55
"MaAsLin3 prevalence","MaAsLin3","prevalence",79
"MaAsLin3 abundance","MaAsLin3","abundance",22
"MaAsLin3 combined","MaAsLin3","combined",83
"ZINQ prevalence","ZINQ","prevalence",94
"ZINQ abundance","ZINQ","abundance",16
"ZINQ combined","ZINQ","combined",107
"ANCOM-BC2","ANCOM-BC2","differential abundance",30
"LinDA","LinDA","differential abundance",79
"corncob","corncob","differential abundance",78
"edgeR","edgeR","differential abundance",47
"DESeq2","DESeq2","differential abundance",63
"metagenomeSeq","metagenomeSeq","differential abundance",150
