"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"qiita_1939_pediatric_crohn","02d06","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.0304087438315688,0.0304087438315688,0.0304087438315688,0.179073713674794,0.179073713674794,FALSE,,2.16472509835604,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Acidaminococcus","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.890040957645274,0.890040957645274,0.890040957645274,1,1,FALSE,,-0.138252382047799,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Acinetobacter","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.921913062389971,0.921913062389971,0.921913062389971,1,1,FALSE,,-0.098024218504668,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Actinobacillus","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.649517957699183,0.649517957699183,0.649517957699183,1,1,FALSE,,-0.454431954104676,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Actinomyces","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.00129532014618902,0.00129532014618902,0.00129532014618902,0.0152559928328929,0.0152559928328929,TRUE,,-3.21701458291865,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Adlercreutzia","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.00206028313328562,0.00206028313328562,0.00206028313328562,0.0229884223292921,0.0229884223292921,TRUE,,3.08140195818226,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Aggregatibacter","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.644896341423377,0.644896341423377,0.644896341423377,1,1,FALSE,,-0.460863776937719,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Akkermansia","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.880305256603992,0.880305256603992,0.880305256603992,1,1,FALSE,,-0.150582259583363,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Alistipes","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.716442484308001,0.716442484308001,0.716442484308001,1,1,FALSE,,0.363217408456969,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Alkalimonas","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.0581900173153363,0.0581900173153363,0.0581900173153363,0.265479759301289,0.265479759301289,FALSE,,-1.8942636953291,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Allobaculum","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.342687266899511,0.342687266899511,0.342687266899511,0.772869155135068,0.772869155135068,FALSE,,-0.948868952865719,"score z; positive values indicate greater structural absence in the comparison group","",
"qiita_1939_pediatric_crohn","Allofustis","SACAT structural absence","SACAT","structural absence","Control","Crohn","age_z + sex + group",TRUE,"Available",0.335267265352535,0.335267265352535,0.335267265352535,0.772869155135068,0.772869155135068,FALSE,,0.963558612020043,"score z; positive values indicate greater structural absence in the comparison group","",
