"section","target_set","method_component","Native","1,000","750","500","250","100","50"
"Empirical power","Structural targets","SACAT structural absence",99.52,97.84,97.12,98.56,99.52,99.76,87.5
"Empirical power","Structural targets","MaAsLin3 prevalence",32.93,78.85,80.29,93.75,97.84,97.84,88.22
"Empirical power","Structural targets","ZINQ prevalence",44.23,84.62,84.38,93.99,97.84,98.08,89.18
"Empirical power","Abundance targets","SACAT present-conditional abundance",34.62,41.67,29.49,26.92,17.31,10.9,3.85
"Empirical power","Abundance targets","MaAsLin3 abundance",10.26,2.56,1.92,0.64,3.21,2.56,0.64
"Empirical power","Abundance targets","ZINQ abundance",17.31,19.87,10.9,10.9,12.18,6.41,5.77
"Mechanism-specific empirical FDR","Structural family","SACAT structural absence",0.21,0.85,1.28,1.28,2.48,3.89,4.41
"Mechanism-specific empirical FDR","Structural family","MaAsLin3 prevalence",0.84,0.24,1.36,1.37,2.33,5.32,5.14
"Mechanism-specific empirical FDR","Structural family","ZINQ prevalence",1.74,0.24,1.58,2.42,3.97,6.06,7.41
"Mechanism-specific empirical FDR","Abundance family","SACAT present-conditional abundance",8.97,2.08,0,2.88,7.18,7.37,4.81
"Mechanism-specific empirical FDR","Abundance family","MaAsLin3 abundance",0,0,0,0,0,1.92,3.85
"Mechanism-specific empirical FDR","Abundance family","ZINQ abundance",5.45,7.21,5.13,8.81,10.58,1.28,4.81
"Complete-null familywise Type I error","Structural family","SACAT structural absence",0,0,0,0,0,0,0
"Complete-null familywise Type I error","Abundance family","SACAT present-conditional abundance",1.8,1.8,0.9,1.8,3.6,9.01,9.91
"Complete-null familywise Type I error","Structural family","MaAsLin3 prevalence",0,0,0,0,0,0,0
"Complete-null familywise Type I error","Abundance family","MaAsLin3 abundance",0.9,0,0,0,0,0,0.9
"Complete-null familywise Type I error","Structural family","ZINQ prevalence",0,0,0,0,0,0,0
"Complete-null familywise Type I error","Abundance family","ZINQ abundance",5.41,4.5,7.21,8.11,9.01,9.91,7.21
"SACAT availability: nonnull allocations","Structural-absence component","Structural target set (8 taxa)",99.76,100,100,100,100,100,100
"SACAT availability: nonnull allocations","Structural-absence component","Abundance target set (3 taxa)",39.1,60.9,63.46,69.87,87.18,93.59,87.18
"SACAT availability: nonnull allocations","Abundance component","Abundance target set (3 taxa)",100,100,100,100,99.36,94.23,72.44
"SACAT availability: nonnull allocations","Abundance component","Structural target set (8 taxa)",99.76,95.19,94.47,93.99,91.59,73.32,53.37
"SACAT availability: complete-null allocations","All 11 taxa","Structural-absence component",84.93,90.42,92.55,95.58,98.85,99.59,98.12
"SACAT availability: complete-null allocations","All 11 taxa","Abundance component",99.92,96.23,95.41,94.84,93.86,77.31,53.89
