"target_set","taxon","DASRA structural absence","DASRA abundance","MaAsLin3 prevalence","MaAsLin3 abundance","ZINQ prevalence","ZINQ abundance"
"Structural targets","Bacillus_subtilis",100,0,28.85,0,48.08,1.92
"Structural targets","Enterococcus_faecalis",100,3.85,38.46,0,44.23,0
"Structural targets","Escherichia_coli",100,9.62,30.77,0,44.23,1.92
"Structural targets","Lactobacillus_fermentum",100,3.85,30.77,0,44.23,1.92
"Structural targets","Listeria_monocytogenes",98.08,0,25,0,30.77,1.92
"Structural targets","Pseudomonas_aeruginosa",98.08,0,28.85,0,40.38,1.92
"Structural targets","Salmonella_enterica",100,0,46.15,0,59.62,0
"Structural targets","Staphylococcus_aureus",100,0,34.62,0,42.31,0
"Structural targets","Mean across taxa",99.52,2.16,32.93,0,44.23,1.2
"Abundance targets","Allobacillus_halotolerans",1.92,34.62,5.77,7.69,11.54,0
"Abundance targets","Imtechella_halotolerans",0,34.62,0,13.46,0,25
"Abundance targets","Truepera_radiovictrix",0,34.62,0,9.62,0,26.92
"Abundance targets","Mean across taxa",0.64,34.62,1.92,10.26,3.85,17.31
