"design","allocation_id","depth","target_library_size","median_library_size","taxon","target_set","method","component","available","reason","p_value","estimate","q_value","significant","d6300_comparison_cells"
"nonnull",1,"native",,21398,"Bacillus_subtilis","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0124670953993506,2.49863981116674,0.0274276098785713,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Enterococcus_faecalis","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.00378558151860983,2.89549741151953,0.0128637711977784,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Escherichia_coli","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0287886581837132,2.18636847373097,0.0449403710753179,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0279955183078696,2.197349172852,0.0449403710753179,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Listeria_monocytogenes","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0326839062365948,2.13594488777879,0.0449403710753179,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.00131579221858863,3.21251293810076,0.0128637711977784,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Salmonella_enterica","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.00467773498101032,2.82842712474872,0.0128637711977784,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Staphylococcus_aureus","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.00355931918524029,2.91478652285672,0.0128637711977784,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","SACAT structural absence","structural absence",TRUE,"available",0.792379892531301,-0.263221458234227,0.968464313093812,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","SACAT structural absence","structural absence",FALSE,"structural_absence_persistent_boundary",1,,1,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","SACAT structural absence","structural absence",FALSE,"structural_absence_persistent_boundary",1,,1,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Bacillus_subtilis","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.686139608824255,-0.167562310255779,0.754753569706681,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Enterococcus_faecalis","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.817930773059787,0.0955029700137909,0.817930773059787,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Escherichia_coli","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.0346570715437861,-0.561878547006689,0.0953069467454119,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.0646734305185398,-0.685240114997824,0.142281547140787,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Listeria_monocytogenes","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.481996266907662,-0.570970295762384,0.744736822014058,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.112725667285068,0.816249735033187,0.206663723355958,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Salmonella_enterica","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.661048564618252,0.289210180915599,0.754753569706681,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Staphylococcus_aureus","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.541626779646588,0.408743682344513,0.744736822014058,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.000418229227396837,2.79834480826703,0.00460052150136521,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.00567423436970184,2.64496441443675,0.0208055260222401,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.00474240936573624,2.50270732582936,0.0208055260222401,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Bacillus_subtilis","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0339240666530923,-1.54841240796725,0.0746329466368031,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Enterococcus_faecalis","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0125558012192801,-1.86123651554079,0.0451070206052674,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Escherichia_coli","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0623633383567268,-1.35866718750258,0.0940111614046766,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0623633383567268,-1.35866718750258,0.0940111614046766,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Listeria_monocytogenes","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0683717537488557,-1.28581792165284,0.0940111614046766,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.00696972497819186,-2.05953416109713,0.0451070206052674,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Salmonella_enterica","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.01640255294737,-1.78794634316784,0.0451070206052674,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Staphylococcus_aureus","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0122287151129494,-1.89341041982489,0.0451070206052674,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.56941797915774,0.419650694558666,0.626359777073514,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.653441916096465,-0.489497084948015,0.653441916096465,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.565969825054378,0.668189992747049,0.626359777073514,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Bacillus_subtilis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.700597594277702,-1.14324144856372,0.89958252005413,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Enterococcus_faecalis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.73602206186247,-1.05508985830471,0.89958252005413,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Escherichia_coli","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.664804459388774,-1.17317526626057,0.89958252005413,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.686404296230856,-1.19622798758266,0.89958252005413,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Listeria_monocytogenes","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.473356851608182,-1.64070990618187,0.89958252005413,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.339262033926174,0.00682293885959221,0.89958252005413,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Salmonella_enterica","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.976502113044831,-0.697458421373698,1,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Staphylococcus_aureus","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",1,-0.720121141505955,1,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","MaAsLin3 abundance","abundance",TRUE,"available",0.0129037781738788,2.95412552273421,0.0473138533042222,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","MaAsLin3 abundance","abundance",TRUE,"available",0.0114580387540388,2.98667975217785,0.0473138533042222,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","MaAsLin3 abundance","abundance",TRUE,"available",0.0111524277246033,2.72982580707284,0.0473138533042222,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Bacillus_subtilis","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.026336909351341,,0.0579412005729503,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Enterococcus_faecalis","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.0089994321297685,,0.0310348463894404,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Escherichia_coli","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.0517955798288694,,0.0813930540167948,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.0517955798288694,,0.0813930540167948,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Listeria_monocytogenes","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.0604175884657892,,0.0830741841404601,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.00398130212621584,,0.0310348463894404,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Salmonella_enterica","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.0112853986870692,,0.0310348463894404,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Staphylococcus_aureus","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.00853882858719379,,0.0310348463894404,TRUE,"2;4;13;15"
"nonnull",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.597192585919268,,0.597192585919268,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.512856183362094,,0.597192585919268,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.592509633785796,,0.597192585919268,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Bacillus_subtilis","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.793540736889601,,0.793540736889601,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Enterococcus_faecalis","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.321028991269584,,0.504474129137918,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Escherichia_coli","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.132943179527674,,0.314875120852918,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.445960267859348,,0.613195368306603,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Listeria_monocytogenes","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.143125054933144,,0.314875120852918,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.612560336693185,,0.673816370362504,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Salmonella_enterica","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.227629226254911,,0.417320248134003,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Staphylococcus_aureus","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.608622699547178,,0.673816370362504,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.0943739058193767,,0.314875120852918,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.0315462572957756,,0.173504415126766,FALSE,"2;4;13;15"
"nonnull",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.00154122376750698,,0.0169534614425768,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0124703286464805,2.49854790538684,0.0172681589677765,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0037950058771929,2.89471692957543,0.0102910169658584,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Escherichia_coli","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0124686540409642,2.49859550379214,0.0172681589677765,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.00467773467488011,2.82842714569679,0.0102910169658584,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0125586610674738,2.49604516344825,0.0172681589677765,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.00131579221859312,3.21251293809978,0.00723685720226215,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Salmonella_enterica","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.0046777349844811,2.82842712451122,0.0102910169658584,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Staphylococcus_aureus","Structural targets","SACAT structural absence","structural absence",TRUE,"available",0.00131579086026343,3.21251323463538,0.00723685720226215,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Allobacillus_halotolerans","Abundance targets","SACAT structural absence","structural absence",TRUE,"available",0.098880833237577,-1.65030371309092,0.120854351734816,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","SACAT structural absence","structural absence",FALSE,"structural_absence_persistent_boundary",1,,1,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","SACAT structural absence","structural absence",TRUE,"available",0.155919075115984,-1.418931200011,0.171510982627582,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.30474355439465,-0.489711873804494,0.558696516390192,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.535157717539482,-0.251861479578059,0.667958711354233,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Escherichia_coli","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.503643887159091,-0.317550224832852,0.667958711354233,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.291245517580745,0.273400576696207,0.558696516390192,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.879630629666345,-0.0860891830072212,0.879630629666345,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.546511672926191,0.149862908133297,0.667958711354233,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Salmonella_enterica","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.708749665736523,-0.149808087070825,0.779624632310175,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Staphylococcus_aureus","Structural targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.107539123143068,0.652255583951962,0.364552395086224,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Allobacillus_halotolerans","Abundance targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.132564507304081,1.18591909212431,0.364552395086224,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.00652179929088388,2.78605382789813,0.0358698960998613,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","SACAT present-conditional abundance","abundance",TRUE,"available",0.00148974974157688,2.38695403856115,0.0163872471573457,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.024291516687244,-1.62334265812402,0.0334008354449606,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0104777360478612,-1.9481241591852,0.0244749690526453,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Escherichia_coli","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0242915166872439,-1.62334265812402,0.0334008354449606,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0111249859330206,-1.85153895165729,0.0244749690526453,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.024291516687244,-1.62334265812401,0.0334008354449606,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0046733342381947,-2.1756613330022,0.0244749690526453,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Salmonella_enterica","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0111249859330206,-1.85153895165729,0.0244749690526453,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Staphylococcus_aureus","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.00467333423819461,-2.17566133300221,0.0244749690526453,TRUE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Allobacillus_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.0989522814654183,1.15863488477555,0.120941677346622,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",1,-6.12820287613351e-16,1,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.571911283450769,0.672676435224568,0.629102411795846,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.255094251842549,-1.36698781179003,0.559057949223379,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.449799555147094,-0.834471167834242,0.559057949223379,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Escherichia_coli","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.297280464480458,-1.22468793275016,0.559057949223379,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.843661051776567,0.0159908668874556,0.928027156954224,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.43220325406672,-0.929421386216058,0.559057949223379,FALSE,"2;4;13;15"
"nonnull",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",1,-0.125999645017842,1,FALSE,"2;4;13;15"
