"method","family","component","discoveries"
"SACAT structural absence","SACAT","structural absence",20
"SACAT present-conditional abundance","SACAT","present-conditional abundance",6
"SACAT combined","SACAT","combined",24
"MaAsLin3 prevalence","MaAsLin3","prevalence",21
"MaAsLin3 abundance","MaAsLin3","abundance",5
"MaAsLin3 combined","MaAsLin3","combined",18
"ZINQ prevalence","ZINQ","prevalence",24
"ZINQ abundance","ZINQ","abundance",2
"ZINQ combined","ZINQ","combined",26
"ANCOM-BC2","ANCOM-BC2","differential abundance",9
"LinDA","LinDA","differential abundance",27
"corncob","corncob","differential abundance",26
"edgeR","edgeR","differential abundance",0
"DESeq2","DESeq2","differential abundance",10
"metagenomeSeq","metagenomeSeq","differential abundance",37
