"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"ravel_vaginal_ethnicity","Actinomyces","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.842996326953939,0.842996326953939,0.842996326953939,0.894087013435996,0.894087013435996,FALSE,,-0.198062292026389,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Aerococcus","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.000249624155715857,0.000249624155715857,0.000249624155715857,0.00249624155715857,0.00249624155715857,TRUE,,-3.66264521859531,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Anaerococcus","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.190467795984974,0.190467795984974,0.190467795984974,0.333318642973705,0.333318642973705,FALSE,,1.30919650451035,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Anaeroglobus","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.00450122871983558,0.00450122871983558,0.00450122871983558,0.018965789278906,0.018965789278906,TRUE,,-2.84071664690474,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Arcanobacterium","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.0954365340799254,0.0954365340799254,0.0954365340799254,0.213661457299816,0.213661457299816,FALSE,,-1.66739174586648,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Atopobium","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.0320131013561561,0.0320131013561561,0.0320131013561561,0.101859867951406,0.101859867951406,FALSE,,-2.14424699543873,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Bacteroidales_1","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.085178767176389,0.085178767176389,0.085178767176389,0.198750456744908,0.198750456744908,FALSE,,-1.72139722671313,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Bacteroides","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.840829681152078,0.840829681152078,0.840829681152078,0.894087013435996,0.894087013435996,FALSE,,0.200832331396103,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Bacteroidetes_8","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.00268857139352305,0.00268857139352305,0.00268857139352305,0.0156833331288844,0.0156833331288844,TRUE,,-3.00126877632662,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Bulleidia","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.082428374962046,0.082428374962046,0.082428374962046,0.198750456744908,0.198750456744908,FALSE,,-1.73676661003343,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Campylobacter","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.810444743564263,0.810444743564263,0.810444743564263,0.886423938273413,0.886423938273413,FALSE,,-0.239852321950414,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Clostridiales_1","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.739055309276262,0.739055309276262,0.739055309276262,0.834417284666747,0.834417284666747,FALSE,,-0.333104623733461,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Clostridiales_17","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.563614276820188,0.563614276820188,0.563614276820188,0.680670542218717,0.680670542218717,FALSE,,-0.577481434247863,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Coriobacteriaceae_1","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.92754960244798,0.92754960244798,0.92754960244798,0.92754960244798,0.92754960244798,FALSE,,-0.0909282505873202,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Coriobacteriaceae_2","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.0067804114457465,0.0067804114457465,0.0067804114457465,0.0262155696423681,0.0262155696423681,TRUE,,-2.70744103495396,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Corynebacterium","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.411968914022572,0.411968914022572,0.411968914022572,0.544109886444907,0.544109886444907,FALSE,,0.820433693994785,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Dialister","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.189637262680828,0.189637262680828,0.189637262680828,0.333318642973705,0.333318642973705,FALSE,,-1.31165293775627,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Eggerthella","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",2.41788718172544e-05,2.41788718172544e-05,2.41788718172544e-05,0.000846260513603903,0.000846260513603903,TRUE,,-4.22233096491654,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Exiguobacterium","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.25047238089609,0.25047238089609,0.25047238089609,0.407745736342473,0.407745736342473,FALSE,,1.14920276527892,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Finegoldia","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.303486889458908,0.303486889458908,0.303486889458908,0.450513867646023,0.450513867646023,FALSE,,1.02898464701458,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Fusobacterium","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.909550808501801,0.909550808501801,0.909550808501801,0.922732704277189,0.922732704277189,FALSE,,-0.113605145174347,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Gardnerella","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.0001114690654466,0.0001114690654466,0.0001114690654466,0.0015605669162524,0.0015605669162524,TRUE,,-3.86416673140588,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Gemella","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.000368336369712548,0.000368336369712548,0.000368336369712548,0.00292568241197222,0.00292568241197222,TRUE,,-3.56178899264498,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","L. crispatus","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.308874926649412,0.308874926649412,0.308874926649412,0.450513867646023,0.450513867646023,FALSE,,1.0175856144621,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","L. gasseri","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.90029862688901,0.90029862688901,0.90029862688901,0.922732704277189,0.922732704277189,FALSE,,0.125284115756598,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","L. iners","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.406821607030471,0.406821607030471,0.406821607030471,0.544109886444907,0.544109886444907,FALSE,,-0.829499875824063,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","L. jensenii","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.0014069241341038,0.0014069241341038,0.0014069241341038,0.00895315358066055,0.00895315358066055,TRUE,,3.19322676698406,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","L. vaginalis","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",8.91499998398186e-05,8.91499998398186e-05,8.91499998398186e-05,0.00156012499719683,0.00156012499719683,TRUE,,3.91836942862687,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Lachnospiraceae_1","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.0132563317818491,0.0132563317818491,0.0132563317818491,0.0463971612364719,0.0463971612364719,TRUE,,-2.4768076623951,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Lachnospiraceae_4","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.241240496284729,0.241240496284729,0.241240496284729,0.402067493807882,0.402067493807882,FALSE,,-1.17189180840489,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Lachnospiraceae_7","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.540772043480758,0.540772043480758,0.540772043480758,0.675965054350947,0.675965054350947,FALSE,,-0.611645929067854,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Lachnospiraceae_8","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.156516061638796,0.156516061638796,0.156516061638796,0.313032123277592,0.313032123277592,FALSE,,-1.41688667945177,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Lachnospiraceae_9","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.0415584292555578,0.0415584292555578,0.0415584292555578,0.123873033298646,0.123873033298646,FALSE,,-2.03791504961169,"score z; positive values indicate greater structural absence in the comparison group","",
"ravel_vaginal_ethnicity","Lachnospiraceae_Incertae_Sedis","DASRA structural absence","DASRA","structural absence","White","Black","group",TRUE,"Available",0.716344751933205,0.716344751933205,0.716344751933205,0.834417284666747,0.834417284666747,FALSE,,-0.363348253197624,"score z; positive values indicate greater structural absence in the comparison group","",
