"intersection","taxon","methods"
"I1","Actinomyces","metagenomeSeq"
"I17","Aerococcus","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I18","Anaeroglobus","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | metagenomeSeq"
"I1","Arcanobacterium","metagenomeSeq"
"I14","Atopobium","SACAT present-conditional abundance | SACAT combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I2","Bacteroides","corncob | metagenomeSeq"
"I3","Bacteroidetes_8","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA"
"I1","Clostridiales_17","metagenomeSeq"
"I8","Coriobacteriaceae_2","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | LinDA | corncob | metagenomeSeq"
"I1","Corynebacterium","metagenomeSeq"
"I12","Dialister","SACAT present-conditional abundance | SACAT combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I16","Eggerthella","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I1","Exiguobacterium","metagenomeSeq"
"I7","Gardnerella","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I3","Gemella","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA"
"I25","L. crispatus","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
"I5","L. jensenii","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob"
"I3","L. vaginalis","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA"
"I24","Lachnospiraceae_1","SACAT structural absence | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I4","Lachnospiraceae_4","corncob"
"I9","Lachnospiraceae_8","LinDA | corncob | DESeq2 | metagenomeSeq"
"I15","Lachnospiraceae_9","SACAT present-conditional abundance | SACAT combined | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I1","Lactobacillales_5","metagenomeSeq"
"I5","Lactobacillales_6","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob"
"I2","Lactobacillus_1","corncob | metagenomeSeq"
"I1","Lactobacillus_2","metagenomeSeq"
"I1","Lactobacillus_4","metagenomeSeq"
"I13","Megasphaera","SACAT present-conditional abundance | SACAT combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
"I10","Mobiluncus","LinDA | corncob | metagenomeSeq"
"I9","Mycoplasmataceae_1","LinDA | corncob | DESeq2 | metagenomeSeq"
"I20","Parvimonas","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
"I11","Prevotella","SACAT present-conditional abundance | SACAT combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I21","Prevotellaceae_1","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I23","Prevotellaceae_2","SACAT structural absence | SACAT present-conditional abundance | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I4","Propionibacterium","corncob"
"I8","Proteobacteria_1","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | LinDA | corncob | metagenomeSeq"
"I6","Proteobacteria_12","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I22","Proteobacteria_2","SACAT structural absence | SACAT combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I7","Ruminococcaceae_3","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I19","Ruminococcaceae_4","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined"
"I10","Ruminococcaceae_Incertae_Sedis","LinDA | corncob | metagenomeSeq"
"I6","Sneathia","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I2","Staphylococcus","corncob | metagenomeSeq"
"I1","Streptococcus","metagenomeSeq"
"I1","Veillonella","metagenomeSeq"
