"intersection","n","methods"
"I1",10,"metagenomeSeq"
"I2",3,"corncob | metagenomeSeq"
"I3",3,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA"
"I4",2,"corncob"
"I5",2,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob"
"I6",2,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I7",2,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I8",2,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | LinDA | corncob | metagenomeSeq"
"I9",2,"LinDA | corncob | DESeq2 | metagenomeSeq"
"I10",2,"LinDA | corncob | metagenomeSeq"
"I11",1,"DASRA present-conditional abundance | DASRA combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I12",1,"DASRA present-conditional abundance | DASRA combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I13",1,"DASRA present-conditional abundance | DASRA combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
"I14",1,"DASRA present-conditional abundance | DASRA combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I15",1,"DASRA present-conditional abundance | DASRA combined | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I16",1,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I17",1,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I18",1,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | metagenomeSeq"
"I19",1,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined"
"I20",1,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
"I21",1,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I22",1,"DASRA structural absence | DASRA combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I23",1,"DASRA structural absence | DASRA present-conditional abundance | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I24",1,"DASRA structural absence | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I25",1,"MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
