dataset_id,dataset_label,reference_group,comparison_group,planned_covariates,model_formula,n_samples,n_taxa,structural_absence_available_n,structural_absence_available_rate,present_conditional_abundance_available_n,present_conditional_abundance_available_rate,combined_available_n,combined_available_rate,ra_bh_discovery_n,ra_bh_discovery_rate,broadly_non_working,common_background_incompatible,screen_passed,dasra_version,elapsed_seconds
microbiomehd_zupancic_obesity,Zupancic Old Order Amish obesity,H,OB,sex,~ sex + group,183,41,41,1,40,0.9756097561,40,0.9756097561,0,0,FALSE,FALSE,TRUE,0.6.0,305.19
qiita_1671_produce_farming,Qiita 1671 fresh-produce farming-practice cohort,Conventional,Organic,produce_type; grocery_store,~ produce_type + grocery_store + group,195,312,55,0.1762820513,24,0.0769230769,24,0.0769230769,2,0.0064102564,TRUE,FALSE,FALSE,0.6.0,10938.63
qiita_11624_twinsuk_urobiome_age,Qiita 11624 TwinsUK urinary microbiome age cohort,YoungerThan65,Age65Plus,collection_year_z,~ collection_year_z + group,846,168,113,0.6726190476,167,0.994047619,113,0.6726190476,26,0.1547619048,TRUE,FALSE,FALSE,0.6.0,9213.73
ravel_vaginal_ethnicity,Ravel cross-sectional vaginal microbiome cohort,White,Black,None,~ group,201,70,70,1,68,0.9714285714,68,0.9714285714,6,0.0857142857,FALSE,FALSE,TRUE,0.6.0,245.38
korean_hypertension,Korean hypertension gut microbiome cohort,Normotension,Hypertension,age_z; sex; bmi_z,~ age_z + sex + bmi_z + group,623,73,73,1,73,1,73,1,0,0,FALSE,FALSE,TRUE,0.6.0,1697.964
qiita_1939_pediatric_crohn,Qiita 1939 pediatric Crohn's disease comparison,Control,Crohn,age_z; sex,~ age_z + sex + group,244,212,172,0.8113207547,183,0.8632075472,158,0.7452830189,32,0.1509433962,FALSE,FALSE,TRUE,0.6.0,5449.763
gems_pediatric_diarrhea,GEMS pediatric diarrhea,Control,MSD,age_z; country,~ age_z + country + group,992,78,74,0.9487179487,76,0.9743589744,73,0.9358974359,24,0.3076923077,FALSE,FALSE,TRUE,0.6.0,6528.258
hfmd_matched,Matched pediatric hand foot and mouth disease cohort,Control,HFM,age_z; sex; city,~ age_z + sex + city + group,458,177,111,0.6271186441,170,0.9604519774,111,0.6271186441,24,0.1355932203,TRUE,FALSE,FALSE,0.6.0,7687.434
qiita_14884_cervical_chlamydia,Qiita 14884 pre-infection cervicovaginal microbiome,Control,Case,age_z; srbs_z; school_status,~ age_z + srbs_z + school_status + group,431,160,69,0.43125,137,0.85625,62,0.3875,0,0,TRUE,FALSE,FALSE,0.6.0,7439.642
qiita_10567_parkinson,Qiita 10567 Parkinson's disease comparison,Control,PD,age_z; sex; bmi_z; location,~ age_z + sex + bmi_z + location + group,286,194,154,0.7938144330,166,0.8556701031,140,0.7216494845,14,0.0721649485,FALSE,FALSE,TRUE,0.6.0,14005.624
imsms_household_control_sex,iMSMS household healthy-control adult sex,Female,Male,age_z; bmi_z; site,~ age_z + bmi_z + site + group,575,121,99,0.8181818182,98,0.8099173554,97,0.8016528926,3,0.0247933884,FALSE,FALSE,TRUE,0.6.0,10080.155
isala_recent_antibiotics,ISALA recent antibiotic exposure,No,Yes,age_z; bmi_z; recent_intercourse; plate,~ age_z + bmi_z + recent_intercourse + plate + group,3037,64,64,1,64,1,64,1,1,0.015625,FALSE,FALSE,TRUE,0.6.0,16966.501
