"software","version","source"
"R","4.5.0","R Project"
"DASRA","0.6.0","repository source"
"maaslin3","1.5.3","GitHub biobakery/maaslin3"
"ZINQ","2.0","GitHub wdl2459/ZINQ-v2"
"ANCOMBC","2.10.1","Bioconductor 3.21"
"MicrobiomeStat","1.4","CRAN"
"corncob","0.4.2","CRAN"
"edgeR","4.6.3","Bioconductor 3.21"
"DESeq2","1.48.2","Bioconductor 3.21"
"metagenomeSeq","1.50.0","Bioconductor 3.21"
"Biobase","2.70.0","Bioconductor 3.22"
"ggplot2","4.0.3","CRAN"
"tidyr","1.3.2","CRAN"
"patchwork","1.3.2","CRAN"
"scales","1.4.0","CRAN"
"readxl","1.5.0","CRAN"
"data.table","1.18.4","CRAN"
"biomformat","1.38.0","Bioconductor 3.22"
