"dataset","dataset_label","dasra_combined_bh_discoveries","non_dasra_selection_status","taxa","percent_of_dasra_combined_discoveries"
"cdi_schubert","Schubert C. difficile infection",39,"Selected by at least one non-DASRA method",39,100
"cdi_schubert","Schubert C. difficile infection",39,"Not selected by any non-DASRA method",0,0
"crc_baxter","Baxter colorectal cancer",5,"Selected by at least one non-DASRA method",5,100
"crc_baxter","Baxter colorectal cancer",5,"Not selected by any non-DASRA method",0,0
"gems_pediatric_diarrhea","GEMS pediatric diarrhea",30,"Selected by at least one non-DASRA method",30,100
"gems_pediatric_diarrhea","GEMS pediatric diarrhea",30,"Not selected by any non-DASRA method",0,0
"korean_hypertension","Korean hypertension gut microbiome cohort",0,"Selected by at least one non-DASRA method",0,
"korean_hypertension","Korean hypertension gut microbiome cohort",0,"Not selected by any non-DASRA method",0,
"microbiomehd_zupancic_obesity","Zupancic Old Order Amish obesity",0,"Selected by at least one non-DASRA method",0,
"microbiomehd_zupancic_obesity","Zupancic Old Order Amish obesity",0,"Not selected by any non-DASRA method",0,
"qiita_1939_pediatric_crohn","RISK pediatric Crohn's disease",45,"Selected by at least one non-DASRA method",45,100
"qiita_1939_pediatric_crohn","RISK pediatric Crohn's disease",45,"Not selected by any non-DASRA method",0,0
"ravel_vaginal_ethnicity","Ravel cross-sectional vaginal microbiome cohort",24,"Selected by at least one non-DASRA method",24,100
"ravel_vaginal_ethnicity","Ravel cross-sectional vaginal microbiome cohort",24,"Not selected by any non-DASRA method",0,0
