samples_per_group,signal_taxa_percent,covariate_structure,target_abundance_difference,method,measure,replications,estimate,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
60,20,Unconfounded,0.1,edgeR,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
60,20,Unconfounded,0.1,DESeq2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
60,20,Unconfounded,0.1,corncob,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
60,20,Unconfounded,0.1,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
60,20,Unconfounded,0.1,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.009,0.0378593889720018,0.00378593889720018,0.00157955976148764,0.0164204402385124
60,20,Unconfounded,0.1,SACAT,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
60,20,Unconfounded,0.1,LinDA,Power after Benjamini-Hochberg adjustment,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
60,20,Unconfounded,0.1,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.001,0.01,0.001,0,0.00296
60,20,Unconfounded,0.1,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
60,20,Unconfounded,0.2,edgeR,Power after Benjamini-Hochberg adjustment,100,0.001,0.01,0.001,0,0.00296
60,20,Unconfounded,0.2,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
60,20,Unconfounded,0.2,corncob,Power after Benjamini-Hochberg adjustment,100,0.017,0.0427702341505507,0.00427702341505507,0.00861703410649207,0.0253829658935079
60,20,Unconfounded,0.2,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.019,0.0486068540704525,0.00486068540704525,0.00947305660219131,0.0285269433978087
60,20,Unconfounded,0.2,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.053,0.077139516789419,0.0077139516789419,0.0378806547092739,0.0681193452907261
60,20,Unconfounded,0.2,SACAT,Power after Benjamini-Hochberg adjustment,100,0.03,0.0627645914460848,0.00627645914460848,0.0176981400765674,0.0423018599234326
60,20,Unconfounded,0.2,LinDA,Power after Benjamini-Hochberg adjustment,100,0.007,0.0293188669562103,0.00293188669562103,0.00125350207658278,0.0127464979234172
60,20,Unconfounded,0.2,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.016,0.0443129367525598,0.00443129367525598,0.00731466439649828,0.0246853356035017
60,20,Unconfounded,0.2,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
60,20,Unconfounded,0.3,edgeR,Power after Benjamini-Hochberg adjustment,100,0.008,0.0338743966363203,0.00338743966363203,0.00136061825928122,0.0146393817407188
60,20,Unconfounded,0.3,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.023,0.0509604719068583,0.00509604719068583,0.0130117475062558,0.0329882524937442
60,20,Unconfounded,0.3,corncob,Power after Benjamini-Hochberg adjustment,100,0.091,0.11814645935696,0.011814645935696,0.0678432939660358,0.114156706033964
60,20,Unconfounded,0.3,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.088,0.10943380453844,0.010943380453844,0.0665509743104657,0.109449025689534
60,20,Unconfounded,0.3,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.198,0.157621205567159,0.0157621205567159,0.167106243708837,0.228893756291163
60,20,Unconfounded,0.3,SACAT,Power after Benjamini-Hochberg adjustment,100,0.143,0.149243885548914,0.0149243885548914,0.113748198432413,0.172251801567587
60,20,Unconfounded,0.3,LinDA,Power after Benjamini-Hochberg adjustment,100,0.026,0.0484507455822379,0.00484507455822379,0.0165036538658814,0.0354963461341186
60,20,Unconfounded,0.3,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.072,0.102572959990497,0.0102572959990497,0.0518956998418626,0.0921043001581375
60,20,Unconfounded,0.3,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
60,20,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.032,0.0708961397134049,0.00708961397134049,0.0181043566161726,0.0458956433838274
60,20,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.097,0.124279743101821,0.0124279743101821,0.0726411703520432,0.121358829647957
60,20,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.264,0.185058003465034,0.0185058003465034,0.227728631320853,0.300271368679147
60,20,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.255,0.17254775360093,0.017254775360093,0.221180640294218,0.288819359705782
60,20,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.479,0.187107164237746,0.0187107164237746,0.442326995809402,0.515673004190598
60,20,Unconfounded,0.4,SACAT,Power after Benjamini-Hochberg adjustment,100,0.388,0.180504343941685,0.0180504343941685,0.35262114858743,0.42337885141257
60,20,Unconfounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.055,0.0833333333333333,0.00833333333333334,0.0386666666666667,0.0713333333333333
60,20,Unconfounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.188,0.171316942972652,0.0171316942972652,0.15442187917736,0.22157812082264
60,20,Unconfounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
60,20,Unconfounded,0.5,edgeR,Power after Benjamini-Hochberg adjustment,100,0.109,0.13340528361714,0.013340528361714,0.0828525644110405,0.13514743558896
60,20,Unconfounded,0.5,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.324,0.212783382050309,0.0212783382050309,0.28229445711814,0.365705542881861
60,20,Unconfounded,0.5,corncob,Power after Benjamini-Hochberg adjustment,100,0.543,0.192408970999827,0.0192408970999827,0.505287841684034,0.580712158315966
60,20,Unconfounded,0.5,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.589,0.180288769489506,0.0180288769489506,0.553663401180057,0.624336598819943
60,20,Unconfounded,0.5,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.781,0.137580096046931,0.0137580096046931,0.754034301174802,0.807965698825199
60,20,Unconfounded,0.5,SACAT,Power after Benjamini-Hochberg adjustment,100,0.713,0.164319840862295,0.0164319840862295,0.68079331119099,0.74520668880901
60,20,Unconfounded,0.5,LinDA,Power after Benjamini-Hochberg adjustment,100,0.115,0.134370962471643,0.0134370962471643,0.0886632913555581,0.141336708644442
60,20,Unconfounded,0.5,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.485,0.20269646910062,0.020269646910062,0.445271492056278,0.524728507943722
60,20,Unconfounded,0.5,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
60,20,Unconfounded,0.6,edgeR,Power after Benjamini-Hochberg adjustment,100,0.246,0.176050956810633,0.0176050956810633,0.211494012465116,0.280505987534884
60,20,Unconfounded,0.6,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.559,0.193894170863772,0.0193894170863772,0.520996742510701,0.597003257489299
60,20,Unconfounded,0.6,corncob,Power after Benjamini-Hochberg adjustment,100,0.781,0.156795562707777,0.0156795562707777,0.750268069709276,0.811731930290724
60,20,Unconfounded,0.6,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.793,0.137990630629091,0.0137990630629091,0.765953836396698,0.820046163603302
60,20,Unconfounded,0.6,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.919,0.096079722789531,0.0096079722789531,0.900168374333252,0.937831625666748
60,20,Unconfounded,0.6,SACAT,Power after Benjamini-Hochberg adjustment,100,0.896,0.114521401996096,0.0114521401996096,0.873553805208765,0.918446194791235
60,20,Unconfounded,0.6,LinDA,Power after Benjamini-Hochberg adjustment,100,0.237,0.170948039834425,0.0170948039834425,0.203494184192453,0.270505815807547
60,20,Unconfounded,0.6,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.72,0.174656950921086,0.0174656950921086,0.685767237619467,0.754232762380533
60,20,Unconfounded,0.6,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
60,20,Unconfounded,0.75,edgeR,Power after Benjamini-Hochberg adjustment,100,0.536,0.173216744006001,0.0173216744006001,0.502049518174824,0.569950481825176
60,20,Unconfounded,0.75,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.849,0.132188264886628,0.0132188264886628,0.823091100082221,0.874908899917779
60,20,Unconfounded,0.75,corncob,Power after Benjamini-Hochberg adjustment,100,0.936,0.0835089059546188,0.00835089059546188,0.919632254432895,0.952367745567105
60,20,Unconfounded,0.75,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.944,0.0820445801458764,0.00820445801458764,0.927919262291408,0.960080737708592
60,20,Unconfounded,0.75,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.988,0.0383497988352882,0.00383497988352882,0.980483439428284,0.995516560571716
60,20,Unconfounded,0.75,SACAT,Power after Benjamini-Hochberg adjustment,100,0.978,0.0504124403437697,0.00504124403437697,0.968119161692621,0.987880838307379
60,20,Unconfounded,0.75,LinDA,Power after Benjamini-Hochberg adjustment,100,0.434,0.196031331241419,0.0196031331241419,0.395577859076682,0.472422140923318
60,20,Unconfounded,0.75,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.921,0.0890976084885775,0.00890976084885775,0.903536868736239,0.938463131263761
60,20,Unconfounded,0.75,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
60,20,Unconfounded,0.9,edgeR,Power after Benjamini-Hochberg adjustment,100,0.646,0.125061600982892,0.0125061600982892,0.621487926207353,0.670512073792647
60,20,Unconfounded,0.9,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.963,0.0661418738375885,0.00661418738375885,0.950036192727833,0.975963807272167
