perturbation,tested_component,samples_per_group,signal_taxa_percent,covariate_structure,target_effect,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Present-conditional abundance,Structural absence,60,20,Unconfounded,0,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.1,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.2,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.3,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.4,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.5,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.6,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.75,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,20,Unconfounded,0.9,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,20,Unconfounded,1.05,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,20,Unconfounded,1.2,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,20,Unconfounded,1.4,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.1,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.2,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.3,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.4,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.5,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.6,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.75,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,0.9,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,80,20,Unconfounded,1.05,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,1.2,100,0,0,0,0,0
Present-conditional abundance,Structural absence,80,20,Unconfounded,1.4,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,20,Unconfounded,0,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.1,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.2,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.3,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.4,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.5,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.6,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.75,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,20,Unconfounded,0.9,100,0.001,0.01,0.001,0,0.00296
Present-conditional abundance,Structural absence,120,20,Unconfounded,1.05,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,20,Unconfounded,1.2,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,20,Unconfounded,1.4,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,40,Unconfounded,0,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.1,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.2,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.3,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.4,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.5,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.6,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.75,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,60,40,Unconfounded,0.9,100,0,0,0,0,0
Present-conditional abundance,Structural absence,60,40,Unconfounded,1.05,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,60,40,Unconfounded,1.2,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,60,40,Unconfounded,1.4,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,80,40,Unconfounded,0,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Present-conditional abundance,Structural absence,80,40,Unconfounded,0.1,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
