experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_effect,method,measure,replications,estimate,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance perturbation,60,20,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.043,0.0768771813355628,0.00768771813355628,0.0279320724582297,0.0580679275417703
Abundance perturbation,60,20,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.131,0.127679364824627,0.0127679364824627,0.105974844494373,0.156025155505627
Abundance perturbation,60,20,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.28,0.155699788832305,0.0155699788832305,0.249482841388868,0.310517158611132
Abundance perturbation,60,20,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.256,0.156553795575486,0.0156553795575486,0.225315456067205,0.286684543932795
Abundance perturbation,60,20,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.526,0.175015150859299,0.0175015150859299,0.491697030431578,0.560302969568423
Abundance perturbation,60,20,Unconfounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.384,0.160630072533197,0.0160630072533197,0.352516505783493,0.415483494216507
Abundance perturbation,60,20,Unconfounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.068,0.104330477257839,0.0104330477257839,0.0475512264574635,0.0884487735425365
Abundance perturbation,60,20,Unconfounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.211,0.174016718110124,0.0174016718110124,0.176892723250416,0.245107276749584
Abundance perturbation,60,20,Unconfounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Abundance perturbation,60,20,Unconfounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.542,0.180448375336594,0.0180448375336594,0.506632118434028,0.577367881565972
Abundance perturbation,60,20,Unconfounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.887,0.1134001585519,0.01134001585519,0.864773568923828,0.909226431076172
Abundance perturbation,60,20,Unconfounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.941,0.0726065917924617,0.00726065917924617,0.926769108008678,0.955230891991323
Abundance perturbation,60,20,Unconfounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.947,0.0731057073315377,0.00731057073315377,0.932671281363019,0.961328718636981
Abundance perturbation,60,20,Unconfounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.985,0.0385992097056273,0.00385992097056273,0.977434554897697,0.992565445102303
Abundance perturbation,60,20,Unconfounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,0.97,0.0559581373109678,0.00559581373109678,0.95903220508705,0.98096779491295
Abundance perturbation,60,20,Unconfounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.536,0.182308429965165,0.0182308429965165,0.500267547726828,0.571732452273173
Abundance perturbation,60,20,Unconfounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.926,0.103103360906922,0.0103103360906922,0.905791741262243,0.946208258737757
Abundance perturbation,60,20,Unconfounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.009,0.0287623491264661,0.00287623491264661,0.00336257957121264,0.0146374204287874
Abundance perturbation,80,20,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.089,0.105308589345309,0.0105308589345309,0.0683595164883194,0.109640483511681
Abundance perturbation,80,20,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.215,0.170782512765993,0.0170782512765993,0.181526627497865,0.248473372502135
Abundance perturbation,80,20,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.367,0.188591268797542,0.0188591268797542,0.330036111315682,0.403963888684318
Abundance perturbation,80,20,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.399,0.174364647515,0.0174364647515,0.36482452908706,0.43317547091294
Abundance perturbation,80,20,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.646,0.172574094758797,0.0172574094758797,0.612175477427276,0.679824522572724
Abundance perturbation,80,20,Unconfounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.495,0.167196128706814,0.0167196128706814,0.462229558773465,0.527770441226536
