component_family,null_mechanism,samples_per_group,covariate_structure,method,method_component,tested_component,replications,familywise_type_i_error,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance,Taxonwise global null,60,Unconfounded,edgeR,edgeR,General abundance,100,0.01,0.0703526470681448,0.00703526470681448,0,0.0237891188253564
Abundance,Taxonwise global null,60,Unconfounded,DESeq2,DESeq2,General abundance,100,0.005,0.05,0.005,0,0.0148
Abundance,Taxonwise global null,60,Unconfounded,corncob,corncob,General abundance,100,0.1,0.235702260395516,0.0235702260395516,0.0538023569624789,0.146197643037521
Abundance,Taxonwise global null,60,Unconfounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.045,0.143811745632331,0.0143811745632331,0.0168128978560632,0.0731871021439368
Abundance,Taxonwise global null,60,Unconfounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.28,0.320353340276424,0.0320353340276424,0.217210745305821,0.342789254694179
Abundance,Taxonwise global null,60,Unconfounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.07,0.188293774338254,0.0188293774338254,0.0330944202297021,0.106905579770298
Abundance,Taxonwise global null,60,Unconfounded,LinDA,LinDA,General abundance,100,0.095,0.243034270352263,0.0243034270352263,0.0473652830109566,0.142634716989043
Abundance,Taxonwise global null,60,Unconfounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.045,0.143811745632331,0.0143811745632331,0.0168128978560632,0.0731871021439368
Abundance,Taxonwise global null,60,Unconfounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Depth-imbalanced null,60,Unconfounded,edgeR,edgeR,General abundance,100,0.02,0.121439181269781,0.0121439181269781,0,0.0438020795288771
Abundance,Depth-imbalanced null,60,Unconfounded,DESeq2,DESeq2,General abundance,100,0.035,0.146594334781051,0.0146594334781051,0.00626751038291392,0.0637324896170861
Abundance,Depth-imbalanced null,60,Unconfounded,corncob,corncob,General abundance,100,0.06,0.178093154605032,0.0178093154605032,0.0250937416974138,0.0949062583025862
