method,component,simulation_target,multiplicity_family,analysis_configuration
SACAT,Structural absence,Structural-absence probability,Fifty focal taxa within each method-component setting,group + z; original library size supplied
SACAT,Present-conditional abundance,Present-conditional relative abundance,Fifty focal taxa within each method-component setting,group + z; original library size supplied
ZINQ,Observed prevalence,Observed prevalence,Fifty focal taxa within each method-component setting,group + z + standardized log depth; Firth model
ZINQ,Detected-sample quantile abundance,Detected-sample abundance quantiles,Fifty focal taxa within each method-component setting,group + z + standardized log depth; three quantiles
MaAsLin 3,Observed prevalence,Observed prevalence,Fifty focal taxa within each method-component setting,TSS and log transform; z and standardized log depth
MaAsLin 3,Detected log abundance,Detected log relative abundance,Fifty focal taxa within each method-component setting,TSS and log transform; z and standardized log depth
ANCOM-BC2,General abundance,Directly perturbed abundance taxa,Fifty focal taxa within each method-component setting,group + z; ANCOM-BC2 structural-zero and sensitivity procedures
DESeq2,General abundance,Directly perturbed abundance taxa,Fifty focal taxa within each method-component setting,z + group; positive-count size factors; Wald test
edgeR,General abundance,Directly perturbed abundance taxa,Fifty focal taxa within each method-component setting,group + z; filterByExpr; TMM; quasi-likelihood test
LinDA,General abundance,Directly perturbed abundance taxa,Fifty focal taxa within each method-component setting,group + z; count input; adaptive zero handling
corncob,General abundance,Directly perturbed abundance taxa,Fifty focal taxa within each method-component setting,group + z mean and dispersion models; robust Wald test
metagenomeSeq,General abundance,Directly perturbed abundance taxa,Fifty focal taxa within each method-component setting,group + z; CSS normalization; fitZig
