experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_difference,method,tested_quantity,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Observed-prevalence perturbation,60,20,Unconfounded,0,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,60,20,Unconfounded,0,ZINQ,Observed prevalence,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Observed-prevalence perturbation,60,20,Unconfounded,0.04,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0.04,MaAsLin 3,Observed prevalence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,60,20,Unconfounded,0.04,ZINQ,Observed prevalence,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Observed-prevalence perturbation,60,20,Unconfounded,0.08,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0.08,MaAsLin 3,Observed prevalence,100,0.006,0.0238683256575942,0.00238683256575942,0.00132180817111154,0.0106781918288885
Observed-prevalence perturbation,60,20,Unconfounded,0.08,ZINQ,Observed prevalence,100,0.008,0.0307482445914323,0.00307482445914323,0.00197334406007927,0.0140266559399207
Observed-prevalence perturbation,60,20,Unconfounded,0.12,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0.12,MaAsLin 3,Observed prevalence,100,0.015,0.0435194139889245,0.00435194139889245,0.00647019485817081,0.0235298051418292
Observed-prevalence perturbation,60,20,Unconfounded,0.12,ZINQ,Observed prevalence,100,0.02,0.0568535243614961,0.00568535243614961,0.00885670922514676,0.0311432907748532
Observed-prevalence perturbation,60,20,Unconfounded,0.16,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,60,20,Unconfounded,0.16,MaAsLin 3,Observed prevalence,100,0.081,0.122015895636096,0.0122015895636096,0.0570848844553251,0.104915115544675
Observed-prevalence perturbation,60,20,Unconfounded,0.16,ZINQ,Observed prevalence,100,0.097,0.128279209365959,0.0128279209365959,0.071857274964272,0.122142725035728
Observed-prevalence perturbation,60,20,Unconfounded,0.2,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0.2,MaAsLin 3,Observed prevalence,100,0.242,0.19341690983495,0.019341690983495,0.20409028567235,0.27990971432765
Observed-prevalence perturbation,60,20,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.281,0.19,0.019,0.24376,0.31824
Observed-prevalence perturbation,60,20,Unconfounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0.24,MaAsLin 3,Observed prevalence,100,0.446,0.209578701979071,0.0209578701979071,0.404922574412102,0.487077425587898
Observed-prevalence perturbation,60,20,Unconfounded,0.24,ZINQ,Observed prevalence,100,0.482,0.204682557866931,0.0204682557866931,0.441882218658082,0.522117781341918
Observed-prevalence perturbation,60,20,Unconfounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0.28,MaAsLin 3,Observed prevalence,100,0.673,0.19584316545273,0.019584316545273,0.634614739571265,0.711385260428735
Observed-prevalence perturbation,60,20,Unconfounded,0.28,ZINQ,Observed prevalence,100,0.694,0.200413713516956,0.0200413713516956,0.654718912150677,0.733281087849323
Observed-prevalence perturbation,60,20,Unconfounded,0.32,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Unconfounded,0.32,MaAsLin 3,Observed prevalence,100,0.834,0.148541733074064,0.0148541733074064,0.804885820317483,0.863114179682517
Observed-prevalence perturbation,60,20,Unconfounded,0.32,ZINQ,Observed prevalence,100,0.85,0.141778031094419,0.0141778031094419,0.822211505905494,0.877788494094506
Observed-prevalence perturbation,80,20,Unconfounded,0,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Unconfounded,0,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Unconfounded,0.04,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Unconfounded,0.04,MaAsLin 3,Observed prevalence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,80,20,Unconfounded,0.04,ZINQ,Observed prevalence,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Observed-prevalence perturbation,80,20,Unconfounded,0.08,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Unconfounded,0.08,MaAsLin 3,Observed prevalence,100,0.009,0.0320825954263823,0.00320825954263823,0.00271181129642906,0.0152881887035709
