"package","version","remote_sha","content_sha256"
"DASRA","0.4.0",,"bef31c196d3d47ace80aea2123c945eca0f7e6a067ad21ff5296f0d449357351"
"SparseDOSSA2","0.99.2","26a998a6e3a5f04d6a86cce14d6d3229ca82633e","7111e9a78ad7f6260582fc042a00f79c53025596b60705d990f0a8071808ccca"
"ZINQ","2.0","40391a637cd6faa39f50fb84ef7fc849976e88e5","794017915857175fbf579c841d069bd672f6925bd64983240fa9215c2a0202f1"
"maaslin3","1.5.3","3a194ece449ef249354df394b58bfe3e6f951ca3","3e281dc15a354ff08121f22893598cce4d9730f68c3b7859f3e3e92512456e14"
"edgeR","4.6.3",,"e28f7d6fbd81aed7d1cc90c7398409b0459b45aefef4754155911ae12062bfb6"
"DESeq2","1.48.2",,"700c7dd346e6b03d5a5175968ad806fec7042aeaac944f96c78cf603afddd89e"
"ANCOMBC","2.10.1",,"5411f83d46831bef23f6fe8363d12fbae9ac5cb1d1d39aebb6dde498d1137033"
"TreeSummarizedExperiment","2.16.1",,"862fc0f5096ac89b64ac6f298ed7c72cc0956d266aa3d1f79c8850708fc327aa"
"SummarizedExperiment","1.38.1",,"1fdae55e2bc2a8772ff6a77f974b44318b81792aa138cd07e65cf8ecdb551dd0"
"S4Vectors","0.48.0",,"6b5651d56886bee56a12f4f7f59b3c1e19fc01aea6ded0cea4dac872c7afa27f"
"MicrobiomeStat","1.4",,"d1cf13c04d5097e8473154b922c76af04851f856edb6ff2b5cca631317142f4b"
"corncob","0.4.2",,"afc778ba810e25a4b4f182975e8c9ed1436b2e6563d947cc94380ac653cf4efd"
"metagenomeSeq","1.50.0",,"3efbaf46793a7f49912dc3eb074ee6a545205078af6f7b371dab59f65cbc4a4d"
"Biobase","2.70.0",,"ebda4e2268dbda9d5524a61eae321e6b60f325b2dfa28315c768058b9497055c"
"limma","3.64.3",,"471ca7122626a19bae0d5ac5fb48dc1707c866a40fd218ebd887ee2c64b64d35"
"statmod","1.5.2",,"6eb36b98c4ac79de3fc5e817195e73278ec405718703376420847c2b68eece89"
"data.table","1.18.4",,"51b4be009da8c242fcb9aafd8b0c8f6fb497ae941026b34cc53662869d458b9d"
"digest","0.6.39",,"0216dea2e2b56200c3740663d375d34be1d665702554d04a5f781742c4e0ac73"
"ks","1.15.3",,"285d02bae815d169794277a28c541d1938cae706e7590553612d54b3c5dd0985"
"mvtnorm","1.4.2",,"bb33b5c4a89d013d8ddf8dd89076b6102b4a987297ec31a06a688cdcb86fd08c"
"huge","2.0.1",,"a4337a0bd15b786192950882f9c845387b74cf52e3d54d2411afed9dcd8038f3"
"future.apply","1.20.2",,"b5289c657ef79ebb153dc0334822ab285b39ecfb7c2322bdb5ca8e70a974528d"
"magrittr","2.0.5",,"b2d608e34632173493f8bda21d92185eda1d65511ea88fb97810fc2479a60fa3"
"truncnorm","1.0.9",,"e988020864527cd1a20ab140901c4003060a1d6841098ed526860806878170cf"
"igraph","2.3.3",,"1238566ec58add692c309610e5d22e6e297aa56f6ccf6d2dc8dd70f8d2ebecb6"
"Rmpfr","1.1.2",,"752793c2166b5f85dc4845f2fa8451cdade715b8b0bc1bd7a9ba924be62df623"
"future","1.75.0",,"8f14b2d283d0e8fa3da6f3746bade1ecedb639a71ef342f31751b77107307fe6"
"globals","0.19.1",,"d40310de0608e7f45f17648761e081c84cfdc950ad7170213946b72feeebb79e"
"parallel","4.5.0",,"cea0d574ef7d6243be3b9e7e42c48699af3b05d8c66e5219c8faa690af886b57"
"utils","4.5.0",,"78d77d03e82bf9a2d40debd9d93a601f262f8dedfc09cef65de96c86feaf3097"
"Matrix","1.7.6",,"72a3b30e972a60cf84a7f8a9236d6ef6804fabbfcf2ca2506f684ba6838aeb0f"
"MASS","7.3.66",,"2ea16326cc5e6f778a19217efc57e34b8bd303eea0c3af89412036083ba78ad5"
"grDevices","4.5.0",,"a1efcdb3d3d7895d0297f7d43389fbdb9233d56f9e9cedcdc5f7d24cb432707c"
"graphics","4.5.0",,"d68058cebfd4d68d1e4ccb6e6d21b193cc7a3abfa5728563420402c772a884f0"
"methods","4.5.0",,"55eb4c85953eb1ea1fe173919a4498dd22a1615033c3507f5a71803e8c0cef86"
"stats","4.5.0",,"ce39a3c7c5aa716b676717fd3c8dc93afe52fcf62f87595dd6330bcb141c3390"
"Rcpp","1.1.2",,"261e66dfcd894f41723ab06f6ab7a6a7eb053457324568b3647a3d27f434df6d"
"cli","3.6.6",,"cf1c6602424a4b82448f633bc58923a7810c43e2ce80f364464e467be166f8aa"
"lifecycle","1.0.5",,"6db08e374ae3d51f9c1d8515d13392b8e82ef4f8e8d5015573cbded60ba9d1ff"
"pkgconfig","2.0.3",,"389af4e14354001607eb5b6fae525d0ac9cea2415ff0a5dfbf04e86cd8bec080"
"rlang","1.3.0",,"780dbf78fde6427be4400bf33e87edc03c15de6b5196ea102ab69c689d16cdcd"
"vctrs","0.7.3",,"f3817c1e56f9f480eced843b463fc9f9c8e63d0ff238f131117535139e542e75"
"cpp11","0.5.5",,"0cdba3d273a8e9f493c4a787036f23a2f60bd873cb7f37af59be04b57a3b1e17"
"FNN","1.1.4.1",,"127276089998ddef4e5ba615690cf6ad66e623f2470c8f9b9a5d3d72fef28a7b"
"kernlab","0.9.33",,"5153598c871d6a1d4f8e1e84e9b8ac8dd144a6eb8184039b0c1e551274222025"
"KernSmooth","2.23.26",,"2d67d9b99716e6c78673a53971849a1589165297323ac93623133b19e9bc3f1a"
"mclust","6.1.3",,"a0b0019f8ef599788c48edde71451e73ae8b8fa9900c0f2f424d103f5aa0f825"
"mgcv","1.9.4",,"de1a5286aca4fee60d573927105e6651263ca5607867603f8179b8cbd56a5f78"
"multicool","1.0.1",,"8c55370be9295519d80a04763f435942d5328e53e522929258cd8d1a6478b980"
"pracma","2.4.6","2.4.6","9b22471b9651bb31bc07d8891a64b8a0a414740f34cd67ddab6358565676d2ff"
"gmp","0.7.5.1",,"2c1b6ca2cae4af8e2a2db044d8227463798d6baf48b9304921be60f1651bf32a"
"listenv","1.0.0",,"e0eb9cf5b9c8707f4b2ebd1b57b81069a45e8466b2aeefc6bec97f8131eac414"
"parallelly","1.48.0",,"254a184fdeca1fabc808fe33d0d439a280a2d26123f83f1af0c380e1145dd42e"
"tools","4.5.0",,"caeeb7cd0df18618b258f6f414def7f02edfbdad6a6ff8e79d93d1b80bfb2272"
"codetools","0.2.20",,"fb0d249337aae1396cf2afbc737b0e30692ae94d2298f1225c376a4ba176b6ed"
"grid","4.5.0",,"a43ef3617caba3b5a6a704a250a066d725f1e9f9c726520b808f06e5c2ec111e"
"lattice","0.22.9",,"4e022a29c234243170240d449c4121ebd7b7600df068cd9b28a2e5330be0d598"
"nlme","3.1.170",,"a347553d59f093d781f11cc63adc9bea9057734b1c88c35fee4d586f46fe021c"
"splines","4.5.0",,"708329fb16b487a34a6638788b644926b896c18c34239900a028be9e805bf54c"
"compiler","4.5.0",,"d235ccdfbf3b251d52f8c6870babb30bee1973dc80befb9b4e32c02c082e2334"
"glue","1.8.1",,"ce2ab784677e65c4bac3d72af5c87e3a62a3fb7ec106b3d2c2bd57b54fcc855a"
