"setting_id","scenario","depth_design","signal_count","spike_structural","spike_abundance","same_direction","generic_abundance","setting_index","base_setting_id","design_id","n_per_group","total_sample_size","signal_fraction","n_signal_target","confounding","confounded","sample_size_label","signal_fraction_label","confounding_label","design_panel","template_role","study","dgp","effect_level","effect_index","effect_parameter","effect_measure"
"NULL_BALANCED","global_null","balanced",0,FALSE,FALSE,FALSE,TRUE,1,"NULL_BALANCED","BALANCED",120,240,0,0,"unconfounded",FALSE,"n/group = 120","0% direct signals","Unconfounded","n/group = 120; 0% direct signals; Balanced depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",0,0,0,"null"
"NULL_FOURFOLD","global_null","fourfold",0,FALSE,FALSE,FALSE,TRUE,2,"NULL_FOURFOLD","FOURFOLD",120,240,0,0,"depth_imbalanced",TRUE,"n/group = 120","0% direct signals","Depth imbalanced","n/group = 120; 0% direct signals; Fourfold depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",0,0,0,"null"
"STRUCT_BALANCED","structural_only","balanced",10,TRUE,FALSE,FALSE,FALSE,3,"STRUCT_BALANCED","BALANCED",120,240,0.2,10,"unconfounded",FALSE,"n/group = 120","20% direct signals","Unconfounded","n/group = 120; 20% direct signals; Balanced depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_prevalence_spike_coefficient"
"STRUCT_FOURFOLD","structural_only","fourfold",10,TRUE,FALSE,FALSE,FALSE,4,"STRUCT_FOURFOLD","FOURFOLD",120,240,0.2,10,"depth_imbalanced",TRUE,"n/group = 120","20% direct signals","Depth imbalanced","n/group = 120; 20% direct signals; Fourfold depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_prevalence_spike_coefficient"
"ABUND_BALANCED","abundance_only","balanced",10,FALSE,TRUE,FALSE,TRUE,5,"ABUND_BALANCED","BALANCED",120,240,0.2,10,"unconfounded",FALSE,"n/group = 120","20% direct signals","Unconfounded","n/group = 120; 20% direct signals; Balanced depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_nonzero_absolute_logFC"
"ABUND_FOURFOLD","abundance_only","fourfold",10,FALSE,TRUE,FALSE,TRUE,6,"ABUND_FOURFOLD","FOURFOLD",120,240,0.2,10,"depth_imbalanced",TRUE,"n/group = 120","20% direct signals","Depth imbalanced","n/group = 120; 20% direct signals; Fourfold depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_nonzero_absolute_logFC"
"JOINT_BALANCED","joint","balanced",10,TRUE,TRUE,FALSE,TRUE,7,"JOINT_BALANCED","BALANCED",120,240,0.2,10,"unconfounded",FALSE,"n/group = 120","20% direct signals","Unconfounded","n/group = 120; 20% direct signals; Balanced depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_prevalence_spike_coefficient_and_nonzero_absolute_logFC"
"JOINT_FOURFOLD","joint","fourfold",10,TRUE,TRUE,FALSE,TRUE,8,"JOINT_FOURFOLD","FOURFOLD",120,240,0.2,10,"depth_imbalanced",TRUE,"n/group = 120","20% direct signals","Depth imbalanced","n/group = 120; 20% direct signals; Fourfold depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_prevalence_spike_coefficient_and_nonzero_absolute_logFC"
"ABUND40_SAME_BALANCED","abundance_same_direction_40","balanced",20,FALSE,TRUE,TRUE,TRUE,9,"ABUND40_SAME_BALANCED","BALANCED",120,240,0.4,20,"unconfounded",FALSE,"n/group = 120","40% direct signals","Unconfounded","n/group = 120; 40% direct signals; Balanced depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_nonzero_absolute_logFC"
"ABUND60_SAME_BALANCED","abundance_same_direction_60","balanced",30,FALSE,TRUE,TRUE,TRUE,10,"ABUND60_SAME_BALANCED","BALANCED",120,240,0.6,30,"unconfounded",FALSE,"n/group = 120","60% direct signals","Unconfounded","n/group = 120; 60% direct signals; Balanced depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",1,1,0.693147180559945,"native_nonzero_absolute_logFC"
