"replication","setting_id","max_probability_sum_error_before_adjustment","max_inactive_tested_probability_error","minimum_other_probability","reservoir_fraction_min","reservoir_fraction_max","minimum_positive_control","minimum_positive_case"
1,"NULL_BALANCED",8.88178419700125e-16,0,1.1515709649471e-05,1.1515709649471e-05,0.843751793864743,9,11
1,"NULL_BALANCED_LOW",8.88178419700125e-16,0,1.1515709649471e-05,1.1515709649471e-05,0.843751793864743,7,9
1,"NULL_FOURFOLD",8.88178419700125e-16,0,1.1515709649471e-05,1.1515709649471e-05,0.843751793864743,8,13
2,"NULL_BALANCED",7.7715611723761e-16,0,0.000964807162335432,0.000964807162335432,0.989399247327167,10,11
2,"NULL_BALANCED_LOW",7.7715611723761e-16,0,0.000964807162335432,0.000964807162335432,0.989399247327167,9,8
2,"NULL_FOURFOLD",7.7715611723761e-16,0,0.000964807162335432,0.000964807162335432,0.989399247327167,8,11
3,"NULL_BALANCED",9.99200722162641e-16,0,0.00179970104611634,0.00179970104611634,0.816716581184035,11,13
3,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.00179970104611634,0.00179970104611634,0.816716581184035,9,9
3,"NULL_FOURFOLD",9.99200722162641e-16,0,0.00179970104611634,0.00179970104611634,0.816716581184035,8,13
4,"NULL_BALANCED",8.88178419700125e-16,0,0.00488746729014399,0.00488746729014399,0.997887448221353,11,9
4,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00488746729014399,0.00488746729014399,0.997887448221353,8,8
4,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00488746729014399,0.00488746729014399,0.997887448221353,9,9
5,"NULL_BALANCED",1.33226762955019e-15,0,0.000369679912760814,0.000369679912760814,0.927828190949644,10,11
5,"NULL_BALANCED_LOW",1.33226762955019e-15,0,0.000369679912760814,0.000369679912760814,0.927828190949644,9,9
5,"NULL_FOURFOLD",1.33226762955019e-15,0,0.000369679912760814,0.000369679912760814,0.927828190949644,7,16
6,"NULL_BALANCED",1.11022302462516e-15,0,0.00231044442494453,0.00231044442494453,0.833957315247619,10,9
6,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00231044442494453,0.00231044442494453,0.833957315247619,7,7
6,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00231044442494453,0.00231044442494453,0.833957315247619,9,9
