"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","raw","available_fraction",100,0.9882,0.00145213183584924,0.985353873900931,0.991046126099069
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","raw","available_fraction",100,0.943,0.00307974812035797,0.936963804602643,0.949036195397357
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","raw","available_fraction",100,0.9712,0.00233238075793812,0.966628617716207,0.975771382283793
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","raw","available_fraction",100,0.8786,0.00427588965283628,0.870219410278574,0.886980589721427
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","raw","available_fraction",100,0.9822,0.00181786865989996,0.978637042897972,0.985762957102028
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","raw","available_fraction",100,0.924,0.00349313901842171,0.917153573330902,0.930846426669098
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","BH","available_fraction",100,0.9882,0.00145213183584924,0.985353873900931,0.991046126099069
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","BH","available_fraction",100,0.943,0.00307974812035797,0.936963804602643,0.949036195397357
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","BH","available_fraction",100,0.9712,0.00233238075793812,0.966628617716207,0.975771382283793
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","BH","available_fraction",100,0.8786,0.00427588965283628,0.870219410278574,0.886980589721427
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","BH","available_fraction",100,0.9822,0.00181786865989996,0.978637042897972,0.985762957102028
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","BH","available_fraction",100,1,0,1,1
