"setting_id","scenario","depth_design","design_id","calibration_role","method","component","domain","n_taxa","availability_n","availability_estimate","availability_mcse","availability_ci95_lower","availability_ci95_upper","raw_rejection_n","raw_rejection_estimate","raw_rejection_mcse","raw_rejection_ci95_lower","raw_rejection_ci95_upper","available_conditional_raw_n","available_conditional_raw_estimate","available_conditional_raw_mcse","available_conditional_raw_ci95_lower","available_conditional_raw_ci95_upper","bh_fwer_n","bh_fwer_events","bh_fwer_estimate","bh_fwer_mcse","bh_fwer_ci95_lower","bh_fwer_ci95_upper","by_fwer_n","by_fwer_events","by_fwer_estimate","by_fwer_mcse","by_fwer_ci95_lower","by_fwer_ci95_upper"
"NULL_BALANCED","exact_global_null","balanced","BALANCED","primary exact global null; balanced standard depth","DASRA","structural_absence","prevalence",50,100,0.9726,0.00206275289236241,0.968507050744041,0.976692949255959,100,0.0342,0.00262536192791113,0.0289907123585891,0.0394092876414109,100,0.0351771632149622,0.00271260369927862,0.0297947689719175,0.0405595574580069,100,1,0.01,0.00999999999999999,0.00176743206414064,0.0544861961787053,100,0,0,0,0,0.0369934982069857
"NULL_BALANCED","exact_global_null","balanced","BALANCED","primary exact global null; balanced standard depth","DASRA","present_conditional_abundance","abundance",50,100,1,0,1,1,100,0.0538,0.00295002140036751,0.0479465175298481,0.0596534824701519,100,0.0538,0.00295002140036751,0.0479465175298481,0.0596534824701519,100,12,0.12,0.0326598632371091,0.0699940643701949,0.198120994267114,100,5,0.05,0.0219042913557591,0.021543679154368,0.111750469231919
"NULL_BALANCED","exact_global_null","balanced","BALANCED","primary exact global null; balanced standard depth","ZINQ","observed_prevalence","prevalence",50,100,1,0,1,1,100,0.0464,0.0029525541074764,0.0405414920894692,0.0522585079105308,100,0.0464,0.0029525541074764,0.0405414920894692,0.0522585079105308,100,2,0.02,0.014070529413629,0.00550196755016236,0.0700117907285439,100,1,0.01,0.01,0.00176743206414064,0.0544861961787053
"NULL_BALANCED","exact_global_null","balanced","BALANCED","primary exact global null; balanced standard depth","ZINQ","detected_quantile_abundance","abundance",50,100,1,0,1,1,100,0.0568,0.00327488144592266,0.0503019247205644,0.0632980752794356,100,0.0568,0.00327488144592266,0.0503019247205644,0.0632980752794356,100,4,0.04,0.0196946385566932,0.0156633039915476,0.0983707143588792,100,1,0.01,0.01,0.00176743206414064,0.0544861961787053
"NULL_BALANCED","exact_global_null","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","observed_prevalence","prevalence",50,100,1,0,1,1,100,0.0436,0.0029457039425529,0.0377550843028316,0.0494449156971684,100,0.0436,0.0029457039425529,0.0377550843028316,0.0494449156971684,100,2,0.02,0.014070529413629,0.00550196755016236,0.0700117907285439,100,0,0,0,0,0.0369934982069857
"NULL_BALANCED","exact_global_null","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","detected_log_abundance","abundance",50,100,1,0,1,1,100,0.0434,0.00288577143372041,0.0376740034028081,0.0491259965971919,100,0.0434,0.00288577143372041,0.0376740034028081,0.0491259965971919,100,4,0.04,0.0196946385566932,0.0156633039915476,0.0983707143588792,100,2,0.02,0.014070529413629,0.00550196755016236,0.0700117907285439
"NULL_BALANCED_LOW","exact_global_null","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","structural_absence","prevalence",50,100,0.9378,0.00338618703356188,0.931081070286764,0.944518929713236,100,0.0352,0.00268358271003824,0.0298751896957579,0.0405248103042421,100,0.0374724001513856,0.00285859783996945,0.0318003218595499,0.0431444784432213,100,2,0.02,0.014070529413629,0.00550196755016236,0.0700117907285439,100,0,0,0,0,0.0369934982069857
"NULL_BALANCED_LOW","exact_global_null","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","present_conditional_abundance","abundance",50,100,0.9998,2e-04,0.999403156609683,1,100,0.0572,0.00347016140864084,0.0503144469082338,0.0640855530917662,100,0.0572163265306122,0.00347128317147574,0.0503285476180134,0.0641041054432111,100,18,0.18,0.038612291966537,0.117002254989463,0.266673583863007,100,13,0.13,0.0337997668989631,0.0775716742724051,0.209803514400764
"NULL_BALANCED_LOW","exact_global_null","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","observed_prevalence","prevalence",50,100,1,0,1,1,100,0.0436,0.00314472461899177,0.0373601841029254,0.0498398158970746,100,0.0436,0.00314472461899177,0.0373601841029254,0.0498398158970746,100,4,0.04,0.0196946385566932,0.0156633039915476,0.0983707143588792,100,1,0.01,0.01,0.00176743206414064,0.0544861961787053
"NULL_BALANCED_LOW","exact_global_null","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","detected_quantile_abundance","abundance",50,100,1,0,1,1,100,0.0604,0.00361791278630275,0.0532212761200568,0.0675787238799432,100,0.0604,0.00361791278630275,0.0532212761200568,0.0675787238799432,100,3,0.03,0.0171446607997765,0.0102545240240389,0.0845193642905276,100,0,0,0,0,0.0369934982069857
