"setting_id","depth_design","design_id","taxon","n_replications","n_per_group","mean_positive_control","mean_positive_control_mcse","mean_positive_control_ci95_lower","mean_positive_control_ci95_upper","min_positive_control","q05_positive_control","q25_positive_control","median_positive_control","q75_positive_control","q95_positive_control","max_positive_control","mean_positive_case","mean_positive_case_mcse","mean_positive_case_ci95_lower","mean_positive_case_ci95_upper","min_positive_case","q05_positive_case","q25_positive_case","median_positive_case","q75_positive_case","q95_positive_case","max_positive_case","probability_control_below_10","probability_case_below_10","probability_either_group_below_10","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_BALANCED","balanced","BALANCED","Taxon_001",100,50,15.86,0.331820810837793,15.2015955222465,16.5184044777535,7,11,13.75,16,18,21,23,15.46,0.299973062763706,14.864788363845,16.055211636155,7,10.95,14,16,18,20,21,0.02,0.04,0.06,0.83,0.94,0.99
"NULL_BALANCED","balanced","BALANCED","Taxon_002",100,50,28.08,0.332021661700534,27.4211969905599,28.7388030094401,18,23.95,26,28,30,33.05,37,28.43,0.302933469376837,27.8289142748596,29.0310857251404,21,24,26,28,31,33,39,0,0,0,0.01,0,0.01
"NULL_BALANCED","balanced","BALANCED","Taxon_003",100,50,42.49,0.254453266134402,41.9851095159496,42.9948904840504,36,38.95,41,42.5,44,47,48,42.27,0.25459613492587,41.7648260332717,42.7751739667283,37,38,40,42,44,46,49,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_004",100,50,38.31,0.282018338826296,37.7504144314426,38.8695855685574,30,34,36,38,41,42.05,46,38.3,0.296273147243853,37.7121297989389,38.8878702010611,30,33,37,38.5,41,42.05,44,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_005",100,50,28.46,0.405622106065847,27.655157741206,29.264842258794,19,22.95,25,28,31,35.05,40,28.67,0.387703677328629,27.9007117912521,29.4392882087479,17,21.95,27,29,31,34,37,0,0,0,0.01,0.02,0.03
"NULL_BALANCED","balanced","BALANCED","Taxon_006",100,50,42.43,0.259469155053626,41.9151569041288,42.9448430958712,36,38,41,43,44,46.05,49,42.73,0.284216093630864,42.166053609104,43.293946390896,36,37,41,43,45,47,48,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_007",100,50,29.03,0.356315318307543,28.3229931053043,29.7370068946957,20,23,27,29,32,35,36,29.34,0.375303244393817,28.5953169404884,30.0846830595116,22,23.95,26,29,31.25,35.05,39,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_008",100,50,44.4,0.214146178715815,43.9750875220746,44.8249124779254,40,40.95,43,45,46,48,49,44.43,0.227082951070015,43.9794181590706,44.8805818409294,39,41,43,44,46,48,49,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_009",100,50,33.77,0.353011574480458,33.0695484498097,34.4704515501903,24,28,32,34,36,39.05,40,33.77,0.352438833435153,33.0706848923006,34.4693151076994,23,28.95,31,33.5,36,40.05,41,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_010",100,50,23.74,0.382870603454874,22.9803016583607,24.4996983416393,15,18,21,24,26,30,32,23.9,0.394277244403663,23.1176684080295,24.6823315919705,15,18,21,24,27,31,34,0,0,0,0.17,0.14,0.3
"NULL_BALANCED","balanced","BALANCED","Taxon_011",100,50,19.51,0.33859334687122,18.8381573414437,20.1818426585563,11,14,17,19.5,22,26,28,20.49,0.384942603618784,19.7261903605118,21.2538096394882,13,14,18,20,23,26.05,32,0,0,0,0.5,0.44,0.74
"NULL_BALANCED","balanced","BALANCED","Taxon_012",100,50,26.84,0.33081472736017,26.1835918101375,27.4964081898625,18,21,24,27,29,32,33,26.11,0.325326564758204,25.4644815154054,26.7555184845946,18,21,24,26,29,31.05,34,0,0,0,0.02,0.02,0.04
"NULL_BALANCED","balanced","BALANCED","Taxon_013",100,50,23.08,0.319936862458198,22.4451758540731,23.7148241459269,13,18,21,23,25,27.05,32,22.44,0.374791524542227,21.6963323036924,23.1836676963076,13,15.95,19,23,25,28,29,0,0,0,0.13,0.26,0.36
"NULL_BALANCED","balanced","BALANCED","Taxon_014",100,50,13.87,0.313872843068912,13.24720818414,14.49279181586,8,9,11,14,16,20,21,13.89,0.334511554057524,13.2262565039375,14.5537434960625,6,9,12,13,16,20,21,0.09,0.08,0.15,0.94,0.94,1
"NULL_BALANCED","balanced","BALANCED","Taxon_015",100,50,35.46,0.361930848911694,34.7418506742874,36.1781493257126,24,29,33.75,36,38,41,43,35.47,0.308942477729196,34.8569910986246,36.0830089013754,27,30,33,36,37,40,42,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_016",100,50,33.39,0.300805316415515,32.793136992041,33.986863007959,25,28.95,31,33,35,37,43,33.84,0.314857671869932,33.2152540701386,34.4647459298614,27,28.95,31.75,34,36,38.05,43,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_017",100,50,43.83,0.257828930835462,43.3184114648269,44.3415885351731,38,40,42,43.5,46,48.05,50,44.19,0.247286281565527,43.6993303682229,44.6806696317771,36,40,43,44,46,48,49,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_018",100,50,22.85,0.363032958962309,22.1296638488424,23.5703361511576,15,17.95,20,23,25,29,34,21.93,0.341788226712378,21.2518180067046,22.6081819932954,14,16,20,22,24,27,30,0,0,0,0.21,0.23,0.41
"NULL_BALANCED","balanced","BALANCED","Taxon_019",100,50,21.96,0.344925698337682,21.2755925823206,22.6444074176794,14,16,20,22,24,28.05,30,22.33,0.34846126402407,21.6385772529522,23.0214227470478,14,17,20,22,25,28,30,0,0,0,0.22,0.24,0.4
"NULL_BALANCED","balanced","BALANCED","Taxon_020",100,50,33.03,0.310572947237127,32.4137558933879,33.6462441066121,26,28,31,33,35,38,39,32.59,0.3478926456959,31.899705515078,33.280294484922,24,27,30,33,35,38,40,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_021",100,50,23.87,0.348055202866477,23.1793829663845,24.5606170336155,16,18,21,24,26,29,32,23.99,0.354051585581148,23.2874848421538,24.6925151578462,15,18.95,22,24,26,30.05,34,0,0,0,0.11,0.08,0.17
"NULL_BALANCED","balanced","BALANCED","Taxon_022",100,50,11.94,0.300444115713167,11.3438536925975,12.5361463074025,4,7,10,12,14,17,19,12.51,0.286213524869427,11.9420902721808,13.0779097278192,6,8,10.75,12,14,18,20,0.18,0.13,0.28,1,0.99,1
"NULL_BALANCED","balanced","BALANCED","Taxon_023",100,50,22.85,0.369650394482968,22.1165334211063,23.5834665788937,16,17,20,22,25,28.05,35,22.78,0.383650724993292,22.0187537279799,23.5412462720201,11,17,20,22.5,25,29,33,0,0,0,0.19,0.2,0.36
"NULL_BALANCED","balanced","BALANCED","Taxon_024",100,50,29.32,0.355300413507195,28.6150068966134,30.0249931033866,21,24,27,29,32,36,38,29.15,0.390641792568345,28.3748819331878,29.9251180668122,20,22,27,29,32,35,37,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_025",100,50,19.49,0.273582665290539,18.9471526378703,20.0328473621297,13,15,18,20,21,23.05,27,19.72,0.326623373754587,19.0719083650118,20.3680916349882,12,14,17,20,22,25,27,0,0,0,0.45,0.49,0.7
