"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_BALANCED","Taxon_001",100,15.86,15.46,0.83,0.94,0.99
"NULL_BALANCED","Taxon_002",100,28.08,28.43,0.01,0,0.01
"NULL_BALANCED","Taxon_003",100,42.49,42.27,0,0,0
"NULL_BALANCED","Taxon_004",100,38.31,38.3,0,0,0
"NULL_BALANCED","Taxon_005",100,28.46,28.67,0.01,0.02,0.03
"NULL_BALANCED","Taxon_006",100,42.43,42.73,0,0,0
"NULL_BALANCED","Taxon_007",100,29.03,29.34,0,0,0
"NULL_BALANCED","Taxon_008",100,44.4,44.43,0,0,0
"NULL_BALANCED","Taxon_009",100,33.77,33.77,0,0,0
"NULL_BALANCED","Taxon_010",100,23.74,23.9,0.17,0.14,0.3
"NULL_BALANCED","Taxon_011",100,19.51,20.49,0.5,0.44,0.74
"NULL_BALANCED","Taxon_012",100,26.84,26.11,0.02,0.02,0.04
"NULL_BALANCED","Taxon_013",100,23.08,22.44,0.13,0.26,0.36
"NULL_BALANCED","Taxon_014",100,13.87,13.89,0.94,0.94,1
"NULL_BALANCED","Taxon_015",100,35.46,35.47,0,0,0
"NULL_BALANCED","Taxon_016",100,33.39,33.84,0,0,0
"NULL_BALANCED","Taxon_017",100,43.83,44.19,0,0,0
"NULL_BALANCED","Taxon_018",100,22.85,21.93,0.21,0.23,0.41
"NULL_BALANCED","Taxon_019",100,21.96,22.33,0.22,0.24,0.4
"NULL_BALANCED","Taxon_020",100,33.03,32.59,0,0,0
"NULL_BALANCED","Taxon_021",100,23.87,23.99,0.11,0.08,0.17
"NULL_BALANCED","Taxon_022",100,11.94,12.51,1,0.99,1
"NULL_BALANCED","Taxon_023",100,22.85,22.78,0.19,0.2,0.36
"NULL_BALANCED","Taxon_024",100,29.32,29.15,0,0,0
"NULL_BALANCED","Taxon_025",100,19.49,19.72,0.45,0.49,0.7
"NULL_BALANCED","Taxon_026",100,34.64,34.71,0,0,0
"NULL_BALANCED","Taxon_027",100,29.64,29.61,0.01,0,0.01
"NULL_BALANCED","Taxon_028",100,30.53,30.69,0,0,0
"NULL_BALANCED","Taxon_029",100,29.91,30.03,0,0,0
"NULL_BALANCED","Taxon_030",100,30.42,30.5,0,0,0
"NULL_BALANCED","Taxon_031",100,17.76,18.24,0.71,0.64,0.86
"NULL_BALANCED","Taxon_032",100,27.01,27.11,0.01,0.02,0.03
