"setting_id","n_replications","mean_returned","mean_regular_score","mean_conservative_nonregular","mean_unavailable","fraction_regular_score","fraction_conservative_nonregular","fraction_unavailable"
"NULL_BALANCED",100,49.51,49.51,0,0.49,0.9902,0,0.0098
"NULL_FOURFOLD",100,49.35,49.35,0,0.65,0.987,0,0.013
"STRUCT_BALANCED",100,49.5,49.5,0,0.5,0.99,0,0.01
"STRUCT_FOURFOLD",100,49.47,49.47,0,0.53,0.9894,0,0.0106
"ABUND_BALANCED",100,49.59,49.59,0,0.41,0.9918,0,0.0082
"ABUND_FOURFOLD",100,49.44,49.44,0,0.56,0.9888,0,0.0112
"JOINT_BALANCED",100,49.56,49.56,0,0.44,0.9912,0,0.0088
"JOINT_FOURFOLD",100,49.48,49.48,0,0.52,0.9896,0,0.0104
"ABUND40_SAME_BALANCED",100,49.66,49.66,0,0.34,0.9932,0,0.0068
"ABUND60_SAME_BALANCED",100,49.72,49.72,0,0.28,0.9944,0,0.0056
