"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","raw","available_fraction",100,0.9958,0.000912096043144139,0.994012324604996,0.997587675395004
"NULL_BALANCED","global_null","BALANCED","edgeR","general_abundance","raw","available_fraction",100,0.915,0.00475989134923957,0.905670784385167,0.924329215614833
"NULL_BALANCED","global_null","BALANCED","DESeq2","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","corncob","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","metagenomeSeq","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","raw","available_fraction",100,0.9808,0.00190522937986453,0.977065819033178,0.984534180966822
"NULL_BALANCED","global_null","BALANCED","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","raw","available_fraction",100,0.9956,0.000967345634071698,0.993704037396618,0.997495962603383
"NULL_FOURFOLD","global_null","FOURFOLD","edgeR","general_abundance","raw","available_fraction",100,0.8322,0.00629185781367274,0.819868185289355,0.844531814710646
"NULL_FOURFOLD","global_null","FOURFOLD","DESeq2","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","corncob","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","metagenomeSeq","general_abundance","raw","available_fraction",100,0.96,0.0196946385566932,0.921399217740347,0.998600782259653
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","raw","available_fraction",100,0.968,0.00214617347995464,0.963793577274714,0.972206422725286
"NULL_FOURFOLD","global_null","FOURFOLD","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
