"setting_id","scenario","depth_design","method","component","availability_n","availability","availability_mcse","availability_ci95_lower","availability_ci95_upper","raw_rejection_n","raw_rejection","raw_rejection_mcse","raw_rejection_ci95_lower","raw_rejection_ci95_upper","bh_fdr_fwer_n","bh_fdr_fwer_events","bh_fdr_fwer","bh_fdr_fwer_mcse","bh_fdr_fwer_ci95_lower","bh_fdr_fwer_ci95_upper","calibration_role"
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence",100,0.9958,0.000912096043144139,0.993990203569719,0.997609796430281,100,0.0378,0.00244362704423427,0.0329513137954753,0.0426486862045247,100,3,0.03,0.0171446607997765,0.0102545240240389,0.0845193642905276,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","edgeR","general_abundance",100,0.915,0.00475989134923957,0.905555342897129,0.924444657102871,100,0.2074,0.0055969327819491,0.196294471097167,0.218505528902833,100,94,0.94,0.0238683256575942,0.875231845541041,0.972213876036812,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","DESeq2","general_abundance",100,1,0,1,1,100,0.2286,0.0055286581198389,0.21762994283909,0.23957005716091,100,94,0.94,0.0238683256575942,0.875231845541041,0.972213876036812,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","corncob","general_abundance",100,1,0,1,1,100,0.1304,0.00428744938421694,0.121892770252768,0.138907229747232,100,48,0.48,0.0502116731568678,0.384645517580519,0.57683422234776,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance",100,1,0,1,1,100,0.0484,0.00299737258682374,0.0424525625030039,0.0543474374969961,100,5,0.05,0.021904291355759,0.021543679154368,0.111750469231919,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","metagenomeSeq","general_abundance",100,1,0,1,1,100,0.1536,0.00466129561041528,0.144350978233459,0.162849021766541,100,64,0.64,0.0482418151324422,0.542354024516087,0.727287795985957,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance",100,0.9808,0.00190522937986453,0.977019611567812,0.984580388432188,100,0.049,0.003170253152432,0.0427095299541241,0.0552904700458759,100,11,0.11,0.031446603773522,0.0625419635706457,0.186312965030803,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","LinDA","general_abundance",100,1,0,1,1,100,0.0574,0.00359185385858252,0.0502729826861795,0.0645270173138205,100,5,0.05,0.021904291355759,0.021543679154368,0.111750469231919,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance",100,1,0,1,1,100,0.0548,0.00333478756157091,0.0481830579903915,0.0614169420096085,100,5,0.05,0.021904291355759,0.021543679154368,0.111750469231919,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence",100,1,0,1,1,100,0.0492,0.0028201296624679,0.0436042509180595,0.0547957490819405,100,4,0.04,0.0196946385566932,0.0156633039915476,0.0983707143588792,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","ANCOM-BC2","general_abundance",100,1,0,1,1,100,0.1386,0.00520493161639162,0.128272286454908,0.148927713545092,100,0,0,0,0,0.0369934982069857,"nominal global null"
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence",100,1,0,1,1,100,0.0506,0.00287735849681473,0.044890696494829,0.056309303505171,100,5,0.05,0.021904291355759,0.021543679154368,0.111750469231919,"nominal global null"
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence",100,0.9956,0.000967345634071698,0.993680576394832,0.997519423605168,100,0.0402,0.00270420547901362,0.0348342696479683,0.0455657303520317,100,6,0.06,0.0238683256575942,0.0277861239631882,0.124768154458959,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","edgeR","general_abundance",100,0.8322,0.00629185781367274,0.819715589069139,0.844684410930861,100,0.2608,0.00625337080818389,0.248391955637846,0.273208044362154,100,100,1,0,0.963006501793014,1,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","DESeq2","general_abundance",100,1,0,1,1,100,0.3626,0.00638593783403832,0.349928913897924,0.375271086102076,100,98,0.98,0.014070529413629,0.929988209271456,0.994498032449838,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","corncob","general_abundance",100,1,0,1,1,100,0.1296,0.00422096738397321,0.121224684964627,0.137975315035373,100,47,0.47,0.0501613558046592,0.375108179593413,0.567111430299006,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance",100,1,0,1,1,100,0.0412,0.00304604396527428,0.0351559879288253,0.0472440120711747,100,6,0.06,0.0238683256575942,0.0277861239631882,0.124768154458959,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","metagenomeSeq","general_abundance",100,0.96,0.0196946385566932,0.920921564320442,0.999078435679558,100,0.3966,0.0121341158588818,0.372523281620293,0.420676718379707,100,96,0.96,0.0196946385566932,0.901629285641121,0.984336696008452,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance",100,0.968,0.00214617347995464,0.963741526200029,0.972258473799971,100,0.0482,0.00306290942429157,0.0421225231991469,0.0542774768008531,100,9,0.09,0.0287623491264661,0.0480725400025652,0.162262128527163,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","LinDA","general_abundance",100,1,0,1,1,100,0.1798,0.00561019994602184,0.168668146165314,0.190931853834686,100,72,0.72,0.0451260859854213,0.625119712900788,0.798603147888138,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance",100,1,0,1,1,100,0.063,0.00367766944208591,0.0557027059506818,0.0702972940493182,100,3,0.03,0.0171446607997765,0.0102545240240389,0.0845193642905276,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence",100,1,0,1,1,100,0.051,0.00310587582598929,0.0448372685365496,0.0571627314634504,100,4,0.04,0.0196946385566932,0.0156633039915476,0.0983707143588792,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","ANCOM-BC2","general_abundance",100,1,0,1,1,100,0.127,0.0054188224148459,0.116247880706826,0.137752119293174,100,1,0.01,0.01,0.00176743206414064,0.0544861961787053,"depth-imbalance no-direct-effect robustness"
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence",100,1,0,1,1,100,0.0528,0.00324762539512652,0.0463560066385874,0.0592439933614126,100,5,0.05,0.021904291355759,0.021543679154368,0.111750469231919,"depth-imbalance no-direct-effect robustness"
