"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_BALANCED","Taxon_001",100,38.19,38.04,0,0,0
"NULL_BALANCED","Taxon_002",100,68.99,67.84,0,0,0
"NULL_BALANCED","Taxon_003",100,101.39,101.03,0,0,0
"NULL_BALANCED","Taxon_004",100,92.25,92.62,0,0,0
"NULL_BALANCED","Taxon_005",100,68.48,68.07,0,0,0
"NULL_BALANCED","Taxon_006",100,103.46,102.62,0,0,0
"NULL_BALANCED","Taxon_007",100,70.83,70.14,0,0,0
"NULL_BALANCED","Taxon_008",100,107.13,106.96,0,0,0
"NULL_BALANCED","Taxon_009",100,79.14,78.58,0,0,0
"NULL_BALANCED","Taxon_010",100,55.9,55.85,0,0,0
"NULL_BALANCED","Taxon_011",100,47.25,47.3,0,0,0
"NULL_BALANCED","Taxon_012",100,63.65,64.98,0,0,0
"NULL_BALANCED","Taxon_013",100,53.49,54.01,0,0,0
"NULL_BALANCED","Taxon_014",100,33.87,33.71,0,0,0
"NULL_BALANCED","Taxon_015",100,83.99,84.74,0,0,0
"NULL_BALANCED","Taxon_016",100,80.68,80.23,0,0,0
"NULL_BALANCED","Taxon_017",100,105.39,106.04,0,0,0
"NULL_BALANCED","Taxon_018",100,54.12,54.57,0,0,0
"NULL_BALANCED","Taxon_019",100,52.35,53.05,0,0,0
"NULL_BALANCED","Taxon_020",100,78.2,78.84,0,0,0
"NULL_BALANCED","Taxon_021",100,57.61,58.1,0,0,0
"NULL_BALANCED","Taxon_022",100,29.97,29.35,0.01,0.03,0.04
"NULL_BALANCED","Taxon_023",100,55.15,55.86,0,0,0
"NULL_BALANCED","Taxon_024",100,69.52,68.17,0,0,0
"NULL_BALANCED","Taxon_025",100,45.64,46.07,0,0,0
"NULL_BALANCED","Taxon_026",100,82.3,82.25,0,0,0
"NULL_BALANCED","Taxon_027",100,70.45,70.1,0,0,0
"NULL_BALANCED","Taxon_028",100,72.45,72.17,0,0,0
"NULL_BALANCED","Taxon_029",100,70.98,71.8,0,0,0
"NULL_BALANCED","Taxon_030",100,72.5,73.54,0,0,0
"NULL_BALANCED","Taxon_031",100,43.31,44.07,0,0,0
"NULL_BALANCED","Taxon_032",100,63.6,64.13,0,0,0
"NULL_BALANCED","Taxon_033",100,48.07,48.26,0,0,0
"NULL_BALANCED","Taxon_034",100,40.9,42.3,0,0,0
"NULL_BALANCED","Taxon_035",100,52.67,53.64,0,0,0
"NULL_BALANCED","Taxon_036",100,36.84,37.91,0,0,0
"NULL_BALANCED","Taxon_037",100,40.65,41.04,0,0,0
"NULL_BALANCED","Taxon_038",100,60.85,60.31,0,0,0
"NULL_BALANCED","Taxon_039",100,38.86,38.7,0,0,0
"NULL_BALANCED","Taxon_040",100,32.18,31.3,0,0,0
"NULL_BALANCED","Taxon_041",100,70.37,70.78,0,0,0
"NULL_BALANCED","Taxon_042",100,54.1,55.5,0,0,0
"NULL_BALANCED","Taxon_043",100,41.58,42.88,0,0,0
"NULL_BALANCED","Taxon_044",100,40.98,40.57,0,0,0
"NULL_BALANCED","Taxon_045",100,60.95,61.39,0,0,0
"NULL_BALANCED","Taxon_046",100,51.86,52.26,0,0,0
"NULL_BALANCED","Taxon_047",100,56.89,57.67,0,0,0
"NULL_BALANCED","Taxon_048",100,44.07,44.52,0,0,0
"NULL_BALANCED","Taxon_049",100,61.09,62.92,0,0,0
"NULL_BALANCED","Taxon_050",100,51.39,50.12,0,0,0
"NULL_FOURFOLD","Taxon_001",100,33.6,39.73,0,0,0
"NULL_FOURFOLD","Taxon_002",100,63.49,70.1,0,0,0
"NULL_FOURFOLD","Taxon_003",100,94.09,103.85,0,0,0
"NULL_FOURFOLD","Taxon_004",100,88.41,93.44,0,0,0
"NULL_FOURFOLD","Taxon_005",100,62.92,69.6,0,0,0
"NULL_FOURFOLD","Taxon_006",100,97.86,104.43,0,0,0
"NULL_FOURFOLD","Taxon_007",100,61.59,73.6,0,0,0
"NULL_FOURFOLD","Taxon_008",100,102.85,107.82,0,0,0
