"setting_id","method","component","status","n","warning_nonempty","proportion","warning_nonempty_proportion"
"NULL_BALANCED","DASRA","structural_absence","ok",4951,0,0.9902,0
"NULL_BALANCED","edgeR","general_abundance","ok",4575,47,0.915,0.0102732240437158
"NULL_BALANCED","DESeq2","general_abundance","ok",5000,5000,1,1
"NULL_BALANCED","corncob","general_abundance","ok",5000,0,1,0
"NULL_BALANCED","MaAsLin 3","detected_log_abundance","ok",5000,0,1,0
"NULL_BALANCED","metagenomeSeq","general_abundance","ok",5000,0,1,0
"NULL_BALANCED","DASRA","present_conditional_abundance","ok",5000,0,1,0
"NULL_BALANCED","LinDA","general_abundance","ok",5000,0,1,0
"NULL_BALANCED","ZINQ","detected_quantile_abundance","ok",5000,0,1,0
"NULL_BALANCED","MaAsLin 3","observed_prevalence","ok",5000,0,1,0
"NULL_BALANCED","ANCOM-BC2","general_abundance","ok",4580,4580,0.916,1
"NULL_BALANCED","ZINQ","observed_prevalence","ok",5000,0,1,0
"NULL_BALANCED","ANCOM-BC2","general_abundance","ok_after_sensitivity_exclusion",420,420,0.084,1
"NULL_BALANCED","edgeR","general_abundance","filterByExpr_excluded",425,3,0.085,0.00705882352941176
"NULL_BALANCED","DASRA","structural_absence","structural_absence_nonoptimal_nuisance_fit",28,0,0.0056,0
"NULL_FOURFOLD","DASRA","structural_absence","ok",4935,0,0.987,0
"NULL_FOURFOLD","edgeR","general_abundance","ok",4161,305,0.8322,0.0732996875751021
"NULL_FOURFOLD","DESeq2","general_abundance","ok",5000,5000,1,1
"NULL_FOURFOLD","corncob","general_abundance","ok",5000,0,1,0
"NULL_FOURFOLD","MaAsLin 3","detected_log_abundance","ok",5000,0,1,0
"NULL_FOURFOLD","metagenomeSeq","general_abundance","ok",4800,0,0.96,0
"NULL_FOURFOLD","DASRA","present_conditional_abundance","ok",5000,0,1,0
"NULL_FOURFOLD","LinDA","general_abundance","ok",5000,0,1,0
"NULL_FOURFOLD","ZINQ","detected_quantile_abundance","ok",5000,0,1,0
"NULL_FOURFOLD","MaAsLin 3","observed_prevalence","ok",5000,0,1,0
"NULL_FOURFOLD","ANCOM-BC2","general_abundance","ok",4174,4174,0.8348,1
